"isqno","terrano","terra1","terra2","terra3"
188,1,"R","M",
189,1,"R","M",
190,1,"G","M",
191,1,"R","M",
192,1,"R","M",
193,1,"R","M",
194,1,"R","M",
195,1,"R","M",
196,1,"R","M",
197,1,"R","M",
198,1,"R","M",
199,1,"R","M",
200,1,"R","M",
201,1,"G","M",
201,2,"R","M",
202,1,"R","M",
202,2,"R","W",
203,1,"R","M",
204,1,"R","M",
205,1,"R","M",
206,1,"R","M",
206,2,"G","M",
207,1,"R","M",
208,1,"R","M",
209,1,"R","M",
210,1,"R","M",
210,2,"R","W",
211,1,"R","M",
212,1,"R","M",
213,1,"R","M",
213,2,"F","M",
214,1,"R","M",
215,1,"R","M",
216,1,"R","M",
217,1,"R","M",
218,1,"R","M",
219,1,"R","M",
220,1,"G","M",
221,1,"G","M",
222,1,"G","W",
223,1,"R","M",
224,1,"R","M",
225,1,"R","M",
226,1,"R","M",
227,1,"R","M",
228,1,"R","M",
229,1,"R","M",
230,1,"R","B",
230,2,"G","B",
231,1,"R","B",
232,1,"G","B",
233,1,"F","B",
234,1,"F","B",
235,1,"R","M",
235,2,"G","B",
236,1,"F","M",
237,1,"F","B",
238,1,"F","B",
238,2,"R","B",
239,1,"R","B",
240,1,"F","M",
241,1,"G","M",
242,1,"G","M",
243,1,"R","M",
244,1,"G","M",
245,1,"R","M",
246,1,"F","M",
247,1,"F","M",
248,1,"G","M",
249,1,"R","M",
250,1,"G","M",
251,1,"G","M",
251,2,"R","M",
252,1,"G","M",
253,1,"F","B",
253,2,"F","M",
254,1,"F","M",
255,1,"F","B",
255,2,"R","B",
256,1,"G","B",
256,2,"R","B",
257,1,"G","B",
257,2,"R","B",
258,1,"G","B",
258,2,"R","B",
259,1,"R","B",
260,1,"R","B",
261,1,"R","M",
261,2,"R","W",
262,1,"R","M",
263,1,"R","M",
264,1,"R","W",
265,1,"R","M",
266,1,"F","M",
267,1,"R","M",
268,1,"R","M",
269,1,"R","M",
269,2,"G","W",
270,1,"R","M",
271,1,"R","M",
272,1,"R","M",
273,1,"R","M",
274,1,"F","M",
274,2,"R","M",
275,1,"R","M",
276,1,"R","M",
276,2,"R","W",
277,1,"R","M",
278,1,"F","M",
278,2,"R","M",
279,1,"F","M",
279,2,"R","M",
280,1,"F","W",
280,2,"R","W",
281,1,"F","W",
281,2,"R","W",
282,1,"R","M",
283,1,"R","M",
284,1,"R","M",
285,1,"R","M",
286,1,"R","M",
287,1,"G","M",
287,2,"R","M",
288,1,"G","M",
288,2,"R","M",
289,1,"F","M",
290,1,"F","M",
291,1,"F","M",
292,1,"F","M",
293,1,"F","M",
294,1,"R","M",
295,1,"R","M",
296,1,"G","M",
297,1,"G","M",
298,1,"G","M",
299,1,"G","M",
300,1,"G","B",
300,2,"G","M",
301,1,"G","B",
301,2,"G","M",
302,1,"F","B",
302,2,"F","M",
303,1,"F","M",
304,1,"R","M",
305,1,"R","M",
306,1,"R","M",
307,1,"R","M",
308,1,"R","M",
309,1,"G","M",
310,1,"R","M",
311,1,"R","M",
312,1,"G","M",
313,1,"G","M",
314,1,"G","B",
315,1,"G","M",
316,1,"R","M",
317,1,"R","M",
318,1,"G","M",
319,1,"R","M",
320,1,"R","M",
321,1,"R","M",
322,1,"G","B",
323,1,"G","B",
324,1,"G","B",
324,2,"G","M",
325,1,"F","B",
326,1,"R","M",
327,1,"F","M",
328,1,"R","M",
329,1,"R","M",
330,1,"R","M",
331,1,"R","M",
332,1,"F","M",
332,2,"R","M",
333,1,"R","M",
334,1,"G","M",
334,2,"R","M",
335,1,"R","M",
336,1,"G","W",
336,2,"R","M",
337,1,"R","M",
337,2,"G","M",
338,1,"R","M",
338,2,"G","W",
339,1,"G","W",
340,1,"R","M",
340,2,"R","W",
341,1,"G","W",
341,2,"R","M",
342,1,"G","W",
343,1,"R","M",
343,2,"G","W",
344,1,"G","W",
345,1,"G","W",
346,1,"G","W",
347,1,"R","M",
347,2,,,"U"
348,1,"R","M",
348,2,,,"U"
349,1,"R","M",
349,2,,,"U"
350,1,"R","M",
351,1,"R","M",
352,1,"R","M",
353,1,"R","M",
353,2,"G","M",
354,1,"R","M",
355,1,"R","M",
356,1,"R","M",
357,1,"R","M",
358,1,"R","M",
359,1,"R","M",
360,1,"R","M",
361,1,"R","M",
362,1,"R","M",
363,1,"R","M",
364,1,"R","M",
365,1,"R","M",
365,2,"R","W",
366,1,"G","W",
366,2,"R","M",
367,1,"R","M",
368,1,"R","M",
369,1,"R","M",
370,1,"R","M",
371,1,"R","W",
372,1,"R","M",
373,1,"R","M",
373,2,"G","W",
374,1,"R","M",
374,2,"G","M",
375,1,"R","M",
375,2,"G","M",
376,1,"R","M",
376,2,"G","M",
377,1,"R","M",
377,2,"G","M",
378,1,"R","M",
378,2,"G","M",
379,1,"R","M",
379,2,"G","M",
380,1,"R","M",
380,2,"G","M",
381,1,"R","M",
382,1,"R","M",
383,1,"R","M",
384,1,"R","M",
385,1,"R","B",
386,1,"F","D",
386,2,"R","D",
387,1,"F","D",
387,2,"R","D",
388,1,"F","D",
388,2,"R","D",
389,1,"F","D",
389,2,"R","D",
390,1,"F","D",
390,2,"R","D",
391,1,"R","D",
392,1,"R","D",
392,2,"G","D",
393,1,"G","M",
394,1,"R","M",
395,1,"R","M",
396,1,"R","M",
397,1,"R","M",
398,1,"R","M",
399,1,"R","M",
400,1,"R","M",
401,1,"R","M",
402,1,"R","M",
403,1,"F","M",
404,1,"R","M",
405,1,"F","M",
406,1,"F","M",
407,1,"G","M",
408,1,"R","M",
409,1,"R","M",
410,1,"F","M",
411,1,"R","M",
412,1,"R","M",
413,1,"F","M",
414,1,"R","M",
415,1,"G","M",
416,1,"G","M",
417,1,"G","M",
418,1,"G","M",
419,1,"G","M",
420,1,"G","M",
421,1,"G","M",
422,1,"G","M",
423,1,"F","M",
424,1,"F","M",
425,1,"F","M",
426,1,"F","M",
427,1,"F","M",
428,1,"F","M",
429,1,"F","M",
430,1,"F","M",
431,1,"F","M",
432,1,"F","M",
433,1,"R","M",
434,1,"G","B",
435,1,"G","B",
436,1,"G","B",
437,1,"G","B",
438,1,"G","B",
439,1,"R","M",
440,1,"G","M",
441,1,"G","M",
442,1,"F","M",
443,1,"F","M",
444,1,"F","M",
445,1,"F","M",
446,1,"R","M",
447,1,"R","M",
448,1,"R","M",
449,1,"R","M",
450,1,"R","M",
451,1,"R","M",
452,1,"R","M",
453,1,"R","M",
454,1,"R","B",
455,1,"R","M",
456,1,"F","M",
457,1,"R","M",
458,1,"R","M",
459,1,"R","M",
460,1,"R","M",
461,1,"R","M",
462,1,"R","M",
463,1,"R","M",
464,1,"R","M",
465,1,"R","M",
466,1,"R","M",
467,1,"R","M",
468,1,"R","M",
469,1,"R","M",
469,2,"G","M",
470,1,"R","M",
471,1,"R","M",
472,1,"R","M",
473,1,"R","M",
474,1,"R","M",
475,1,"R","M",
476,1,"R","M",
477,1,"R","M",
478,1,"R","M",
479,1,"R","M",
480,1,"R","M",
481,1,"R","M",
482,1,"R","M",
483,1,"G","M",
483,2,"R","M",
484,1,"R","M",
484,2,"G","M",
485,1,"R","M",
486,1,"R","M",
487,1,"R","W",
488,1,"R","M",
488,2,"F","M",
489,1,"R","M",
490,1,"R","M",
491,1,"F","W",
491,2,"F","M",
492,1,"F","M",
493,1,"R","M",
494,1,"R","M",
495,1,"R","M",
496,1,"R","M",
497,1,"R","M",
498,1,"R","M",
499,1,"R","M",
500,1,"R","M",
501,1,"F","M",
502,1,"F","M",
503,1,"R","M",
503,2,,,"U"
504,1,"F","W","M"
505,1,"F","M",
505,2,"R","M",
506,1,"F","W",
507,1,"F","W",
508,1,"F","M",
509,1,"F","M",
510,1,"F","M",
511,1,"F","M",
511,2,"R","M",
512,1,"R","M",
512,2,,,"M"
513,1,"R",,
514,1,"R",,
515,1,"G","M",
516,1,"R","M",
516,2,"G","M",
517,1,"R","M",
518,1,"R","B",
518,2,"G","B",
519,1,"G","B",
520,1,"R","B",
521,1,"F","M",
521,2,"R","M",
522,1,"G","M",
522,2,"F","B",
523,1,"G","M",
523,2,"F","B",
524,1,"G","M",
524,2,"R","M",
525,1,"G","M",
525,2,"R","M",
526,1,"G","M",
526,2,"R","M",
527,1,"G","M",
527,2,"R","M",
528,1,"G","M",
528,2,"R","M",
529,1,"G","M",
529,2,"R","M",
530,1,"G","M",
530,2,"R","M",
531,1,"R","M",
532,1,"G","M",
533,1,"G","M",
533,2,"R","M",
534,1,"G","M",
535,1,"G","M",
536,1,"G","M",
537,1,"G","M",
538,1,"R","M",
538,2,"G","M",
539,1,"R","M",
539,2,"G","M",
540,1,"R","M",
540,2,"G","M",
541,1,"R","M",
541,2,"G","M",
542,1,"R","M",
542,2,"G","M",
543,1,"R","M",
543,2,"G","M",
544,1,"R","M",
544,2,"G","M",
545,1,"R","M",
545,2,"G","M",
546,1,"R","M",
546,2,"G","M",
547,1,"R","M",
547,2,"G","M",
548,1,"G","M",
549,1,"G","M",
550,1,"G","M",
551,1,"G","M",
552,1,"G","M",
553,1,"G","M",
554,1,"F","M",
554,2,"F","D",
555,1,"F","D",
555,2,"R","D",
556,1,"F","D",
556,2,"R","D",
557,1,"F","M",
557,2,"F","D",
558,1,"F","D",
558,2,"R","D",
559,1,"F","M",
559,2,"F","D",
560,1,"F","D",
560,2,"R","D",
561,1,"F","D",
561,2,"F","M",
562,1,"F","D",
562,2,"F","M",
563,1,"F","D",
563,2,"R","D",
564,1,"F","D",
564,2,"F","M",
565,1,"G","M",
566,1,"G","M",
567,1,"G","M",
568,1,"F","M",
569,1,"R","D",
570,1,"R","D",
571,1,"R","D",
572,1,"R","D",
573,1,"R","D",
574,1,"R","D",
575,1,"R","D",
576,1,"R","D",
577,1,"R","D",
578,1,"R","D",
579,1,"R","D",
580,1,"R","D",
581,1,"R","D",
582,1,"R","D",
583,1,"R","D",
583,2,,,"U"
584,1,"R","D",
585,1,"G","B",
585,2,"R","B",
586,1,"G","B",
586,2,"R","B",
587,1,"G","B",
587,2,"R","B",
588,1,"G","B",
588,2,"R","B",
589,1,"G","B",
589,2,"R","B",
590,1,"G","B",
590,2,"R","B",
591,1,"G","B",
591,2,"R","B",
592,1,"G","B",
593,1,"G","M",
594,1,"R","M",
594,2,"G","B",
595,1,"G","B",
595,2,"R","B",
596,1,"G","B",
596,2,"R","B",
597,1,"G","B",
597,2,"R","B",
598,1,"G","B",
598,2,"R","B",
599,1,"G","B",
599,2,"R","B",
600,1,"G","M",
601,1,"G","M",
602,1,"F","B",
602,2,"G","B",
603,1,"F","B",
603,2,"G","B",
604,1,"G","B",
605,1,"F","B",
605,2,"F","M",
606,1,"F","B",
606,2,"F","M",
607,1,"F","B",
607,2,"F","M",
608,1,"F","B",
608,2,"F","M",
609,1,"F","B",
609,2,"G","B",
610,1,"F","B",
611,1,"F","B",
612,1,"R","M",
613,1,"G","M",
614,1,"R","M",
614,2,"G","M",
615,1,"G","W",
616,1,"R","W",
617,1,"R","W",
618,1,"G","W",
619,1,"R","B",
619,2,"R","M",
620,1,"G","W",
620,2,"R","M",
621,1,"G","W",
622,1,"R","M",
623,1,"G","W",
624,1,"G","W",
625,1,"G","W",
636,1,"G",,
637,1,"F","B",
638,1,"F","M",
639,1,"F","M",
640,1,"R","B",
641,1,"G","M",
642,1,"G","M",
643,1,"G","M",
644,1,"F","M",
645,1,"R","D",
646,1,"F","M",
647,1,"R","B",
648,1,"F","B",
649,1,"F","B",
650,1,"F","B",
651,1,"F","B",
652,1,"F","B",
653,1,"F",,"U"
654,1,"F","M",
655,1,"G","M",
656,1,"R","B",
657,1,"R","M",
658,1,"R","M",
659,1,"R","M",
660,1,"R","M",
