"isqno","attacker","nam","co","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","actors"
109,1,"FR ARMY","JOURDAN","38000",1,"38000",0,"4500","33500",5000,0,0,0,,0,0,,0,"FF","EE",,,,,"RR","WD",,5,-8,11,-19,5,"France"
11,0,"IMP & SAXON ARMY","HATZFELD AND JOHN GEORGE","30000",1,"30000",0,"18000","12000",14000,0,0,0,42,0,0,42,0,"DO","FF",,,,"0","AA",,,0,-30,0,-72,3,"Holy Roman Empire & Saxony"
11,1,"SW ARMY","BANER","22000",1,"22000",0,"7000","15000",12000,0,0,0,,0,0,,0,"EE","RF",,"FF",,,"BB","PS",,0,-26,0,-53,9,"Sweden"
110,0,"FR ARMY","BONAPARTE","4500",3,"2000",2500,"60","4440",,0,0,0,18,0,0,0,0,"DO",,,,,"0","BB",,,0,-11,66,0,8,"France"
110,1,"TURK ARMY","ABDALLAH PASHA","35000",1,"35000",0,"6500","28500",25000,0,0,0,2,0,0,2,0,"FF",,,,,,"WL",,,0,-26,10,-10,1,"Ottoman Empire"
111,0,"FR ARMY","MASSENA","25000",1,"25000",0,"1600","23400",5000,0,0,0,,0,0,,0,"DD",,,"DD",,"0","SS","WD",,80,0,8,0,6,"France"
111,1,"AUS ARMY","ARCHDUKE CHARLES","40000",1,"40000",0,"3400","36600",9400,0,0,0,,0,0,,0,"FF",,,"EE",,,"RR",,,38,0,1,-6,4,"Austria"
112,0,"FR ARMY OF ITALY","JOUBERT & MOREAU","35000",1,"35000",0,"11000","24000",2000,0,0,0,,0,0,18,0,"DD",,,,,"0","WL",,,3,0,0,-39,3,"France"
112,1,"ALLIED ARMY","SUVAROV","50000",1,"50000",0,"9000","41000",9000,0,0,0,,0,0,,0,"FF",,,,,,"BB",,,30,0,0,-3,7,"Russia"
113,0,"ALLIED ARMY","KORSAKOV","23000",1,"23000",0,"8000","15000",3500,0,0,0,100,0,0,100,0,"DO",,,,,"0","AA",,,30,0,5,-5,2,"Russia"
113,1,"FR ARMY","MASSENA","35000",1,"35000",0,"4000","31000",3500,0,0,0,,0,0,,0,"RC","FF","EE",,,,"BB",,,0,-4,5,-5,8,"France"
114,0,"AUS ARMY","KRAY","60000",1,"60000",0,"5000","55000",15000,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,50,-20,0,-20,4,"Austria"
114,1,"FR ARMY","MOREAU","60000",1,"60000",0,"4000","56000",10000,0,0,0,,0,0,,0,"FF","EE",,,,,"PP",,,0,-13,0,-25,5,"France"
115,0,"FR ARMY OF THE RESERVE","BONAPARTE","29000",3,"9000",20000,"7000","22000",7000,0,0,0,29,0,0,13,0,"DO",,,,,"0","BB","PS",,10,-3,14,-20,7,"France"
115,1,"AUS ARMY","MELAS","31000",1,"31000",0,"11000","20000",7600,0,0,0,100,0,0,40,0,"FF",,,,,,"WL",,,0,-13,27,0,2,"Austria"
116,0,"FR ARMY","MOREAU","55000",3,"33000",22000,"2500","52500",12000,0,0,0,,0,0,,0,"DO",,,,,"0","PS",,,10,0,100,0,7,"France"
116,1,"AUS ARMY","ARCHDUKE JOHN","57000",1,"57000",0,"20000","37000",12000,0,0,0,,0,0,90,0,"FF","EE",,,,,"RR","WL",,10,0,0,-23,3,"Austria"
117,0,"FR ARMY","NAPOLEON I","73200",3,"65200",8000,"7000","66200",21960,0,0,0,139,0,0,0,0,"DO","FF",,,,"0","BB","PS",,2,-11,29,-3,10,"France"
117,1,"ALLIED ARMY","KUTUZOV","85400",1,"85400",0,"27500","57900",16000,0,0,0,278,0,0,180,0,"FF","EE","LF",,,,"RR","WL",,4,-3,0,-7,2,"Russia"
118,0,"PR ARMY","HOHENLOHE","53000",3,"38000",15000,"30000","23000",11130,0,0,0,120,0,0,112,0,"DO","FF",,,,"0","RR","WL",,2,-9,0,-17,2,"Prussia"
118,1,"FR ARMY","NAPOLEON I","96000",3,"46000",50000,"4000","92000",12500,0,0,0,114,0,0,0,0,"FF","EE","RF",,,,"BB","PS",,4,-44,50,0,9,"France"
119,0,"FR III CORPS","DAVOUT","27000",3,"20800",6200,"4000","23000",,0,0,0,40,0,0,,0,"DO","EE","RF",,,"0","BB","PS",,1,-4,100,0,10,"France"
119,1,"PR ARMY","BRUNSWICK","63500",3,"47900",15600,"20000","43500",,0,0,0,230,0,0,,0,"FF","EE","RF",,,,"RR","WL",,0,-22,0,-35,2,"Prussia"
12,0,"IMP ARMY","LEOPOLD WILLIAM","30000",1,"30000",0,"15000","15000",8000,0,0,0,46,0,0,46,0,"DO","EE","RF",,,"0","WL",,,0,-13,0,-33,3,"Holy Roman Empire"
12,1,"SW ARMY","TORTENSSON","25000",1,"25000",0,"5000","20000",10000,0,0,0,70,0,0,0,0,"EE","LF",,"FF",,,"BB","PS",,0,-20,0,-20,9,"Sweden"
120,0,"RUSS ARMY","BENNIGSEN","80000",3,"71000",9000,"28000","52000",18000,0,0,0,460,0,0,23,0,"DO",,,,,"0","SS","WD",,4,-19,0,-52,6,"Russia"
120,1,"FR ARMY","NAPOLEON I","78000",3,"48900",29100,"18500","59500",20000,0,0,0,210,0,0,,0,"FF","EE","RF",,,,"SS",,,0,-23,35,-19,6,"France"
121,0,"RUSS ARMY","BENNIGSEN","60000",1,"60000",0,"25000","35000",,0,0,0,185,0,0,80,0,"DO","FF",,,,"0","RR","WL",,2,-23,0,-60,3,"Russia"
121,1,"FR ARMY","NAPOLEON I","80000",3,"17000",63000,"8000","72000",,0,0,0,110,0,0,0,0,"FF","EE","RF",,,,"BB","PS",,9,0,51,0,9,"France"
122,0,"BR & PORT ARMY","WELLESLEY","19600",1,"19600",0,"750","18850",240,0,0,0,18,0,0,0,0,"DD",,,,,"0",,,,0,-18,0,-4,8,"Great Britain"
122,1,"FR ARMY","JUNOT","13050",1,"13050",0,"1800","11250",1950,0,0,0,23,0,0,14,0,"FF","EE","LF",,,,"RR","WD",,7,-1,39,0,4,"France"
123,0,"BR ARMY","MOORE","14800",1,"14800",0,"1000","13800",0,0,0,0,9,0,0,4,0,"DD",,,,,"0","SS","WD",,14,0,0,-20,7,"Great Britain"
123,1,"FR ARMY","SOULT","20600",1,"20600",0,"1600","19000",4500,0,0,0,40,0,0,,0,"FF",,,,,,"RR",,,2,-26,88,-44,4,"France"
124,0,"FR ARMY","NAPOLEON I","66000",3,"36000",30000,"6000","60000",10000,0,0,0,,0,0,,0,"DO","EE","LF",,,"0","PP",,,21,-9,0,-50,8,"France"
124,1,"AUS ARMY","ARCHDUKE CHARLES","74000",1,"74000",0,"12000","62000",8000,0,0,0,,0,0,12,0,"FF",,,,,,"RR","WD",,0,-53,42,-50,4,"Austria"
125,0,"FR ARMY","NAPOLEON I","66000",3,"23000",43000,"21000","45000",11000,0,0,0,144,0,0,3,0,"DD",,,,,"0","SS",,,27,0,111,-5,5,"France"
125,1,"AUS ARMY","ARCHDUKE CHARLES","99000",1,"99000",0,"23000","76000",14500,0,0,0,264,0,0,6,0,"FF","DE",,,,,"SS",,,0,-24,2,0,7,"Austria"
126,0,"AUS ARMY","JOHN","37000",1,"37000",0,"6211","30789",9000,0,0,0,,0,0,2,0,"DD",,,,,"0","WD",,,0,-32,61,-19,4,"Austria"
126,1,"FR ARMY","EUGENE","35000",1,"35000",0,"4000","31000",6000,0,0,0,,0,0,,0,"FF","EE","LF",,,,"BB",,,0,-31,0,-25,8,"France"
127,0,"AUS ARMY","ARCHDUKE CHARLES","140000",3,,,"45000","95000",15000,0,0,0,480,0,0,,0,"DO","EE","LF",,,"0","WD",,,5,-8,0,-43,4,"Austria"
127,1,"FR ARMY","NAPOLEON I","140000",3,,,"34000","106000",30000,0,0,0,554,0,0,,0,"EE","LF",,"FF",,,"PP",,,35,0,9,-12,7,"France"
128,0,"BR & SP ARMIES","WELLESLLEY & CUESTA","54500",1,"54500",0,"6700","47800",8950,0,0,0,60,0,0,,0,"DD",,,,,"0",,,,0,-34,21,-19,6,"Great Britain & Spain"
128,1,"FR ARMY","JOSEPH BONAPARTE","46000",1,"46000",0,"7300","38700",8500,0,0,0,80,0,0,7,0,"FF","EE","LF",,,,"RR","WD",,22,-35,20,0,5,"France"
129,0,"BR & PORT ARMIES","WELLINGTON","51910",1,"51910",0,"1300","50610",5000,0,0,0,60,0,0,,0,"DD",,,,,"0","SS","WD",,0,-38,0,-8,6,"Great Britain"
129,1,"FR ARMY OF PORTUGAL","MASSENA","65900",1,"65900",0,"4500","61400",8400,0,0,0,114,0,0,,0,"FF",,,,,,"RR","SS",,1,-12,2,-1,4,"France"
13,0,"SP NETHERLANDS ARMY","MELLO","26000",1,"26000",0,"14000","12000",7000,0,0,0,18,0,0,18,0,"DO","FF",,,,"0","AA",,,0,-4,0,-16,3,"Spain"
13,1,"FR ARMY","ENGHIEN","23000",1,"23000",0,"4000","19000",7000,0,0,0,12,0,0,0,0,"EE","LF",,"FF",,,"BB","PS",,0,-13,0,-10,8,"France"
130,0,"BR & PORT ARMIES","WELLINGTON","37360",1,"37360",0,"1800","35560",1870,0,0,0,48,0,0,,0,"DO","FF",,,,"0","SS",,,2,-20,0,-17,6,"Great Britain"
130,1,"FR ARMY","MASSENA","48260",1,"48260",0,"2700","45560",4660,0,0,0,38,0,0,,0,"FF","EE","RF",,,,"RR","SS",,0,-38,11,-19,5,"France"
131,0,"BR, PORT & SP ARMIES","BERESFORD","30000",1,"30000",0,"7500","22500",3700,0,0,0,,0,0,1,0,"DD",,,,,"0",,,,60,0,0,-20,7,"Great Britain"
131,1,"FR ARMY","SOULT","23000",1,"23000",0,"8000","15000",4000,0,0,0,,0,0,,0,"EE","RF",,"FF",,,"PP","RR","WD",5,-22,5,-5,6,"France"
132,0,"FR ARMY","MARMONT","42000",1,"42000",0,"13000","29000",4000,0,0,0,78,0,0,20,0,"DO","FF",,,,"0","RR","WL",,19,0,31,-8,3,"France"
132,1,"BR ALLIED ARMY","WELLINGTON","46000",1,"46000",0,"6000","40000",6000,0,0,0,60,0,0,0,0,"FF",,,,,,"BB","PS",,6,-13,0,-13,7,"Great Britain"
133,0,"FR ARMY","JOSEPH BONAPARTE & JOURDAN","68024",1,"68024",0,"7000","61024",10002,0,0,0,143,0,0,143,0,"DO","FF",,,,"0","WL",,,0,-26,14,-27,3,"France"
133,1,"BR ALLIED ARMY","WELLINGTON","79062",1,"79062",0,"5148","73914",8317,0,0,0,90,0,0,0,0,"FF","DE",,,,,"BB","PS",,14,-11,17,-3,8,"Great Britain"
134,0,"RUSS ARMY","KUTUSOV","120000",1,"120000",0,"40000","80000",18000,0,0,0,640,0,0,40,0,"DO","FF",,,,"0","RR","WD",,2,-25,30,0,6,"Russia"
134,1,"FR ARMY","NAPOLEON I","120000",1,"120000",0,"28000","92000",28000,0,0,0,587,0,0,13,0,"FF",,,"EE","LF",,"PP",,,11,-5,14,0,7,"France"
135,0,"FR ARMY","NAPOLEON I","120000",3,"45000",75000,"22000","98000",7500,0,0,0,250,0,0,,0,"DO","FF",,,,"0","PP",,,20,-3,0,-41,6,"France"
135,1,"RUSS & PR ARMIES","WITTGENSTEIN & BLUECHER","93000",1,"93000",0,"18000","75000",25000,0,0,0,500,0,0,,0,"FF",,,,,,"RR","WD",,0,-26,0,-44,4,"Russia & Prussia"
136,0,"PR & RUSS ARMIES","WITTGENSTEIN & BLUECHER","97000",1,"97000",0,"20000","77000",26000,0,0,0,450,0,0,,0,"DD",,,,,"0","WD",,,3,-1,0,-45,4,"Prussia & Russia"
136,1,"FR ARMY","NAPOLEON I","199000",3,"115000",84000,"25000","174000",15000,0,0,0,300,0,0,,0,"FF","EE","RR",,,,"PP",,,1,-16,0,-20,6,"France"
137,0,"FR ARMY","NAPOLEON I","120000",3,"70000",50000,"10000","110000",10000,0,0,0,250,0,0,,0,"DO","DE",,,,"0","PP",,,0,-20,5,-5,6,"France"
137,1,"ALLIED (AUS, RUSS, PR)","SCHWARZENBERG","170000",3,"158000",12000,"40000","130000",20000,0,0,0,400,0,0,40,0,"FF",,,,,,"RR","WD",,18,0,0,-5,3,"Austria"
138,0,"FR ARMY","NAPOLEON I","196200",3,"177500",18700,"60000","136200",30000,0,0,0,717,0,0,325,0,"DO","PP",,,,"0","PP",,,0,-13,22,0,5,"France"
138,1,"ALLIED (AUS, RUSS, PR, SW) ARMY","SCHWARZENBERG","365000",3,"200000",165000,"65000","300000",60000,0,0,0,1384,0,0,,0,"FF",,,,,,"RR","WD",,0,-17,23,-18,7,"Austria"
139,0,"BAV ARMY","WREDE","40000",1,"40000",0,"15000","25000",7000,0,0,0,138,0,0,,0,"DD",,,,,"0","WD",,,9,0,0,-66,3,"Bavaria"
139,1,"FR ARMY","NAPOLEON I","60000",3,"30000",30000,"5000","55000",12000,0,0,0,140,0,0,5,0,"FF","EE","LF",,,,"BB","PS",,0,-22,50,0,7,"France"
14,0,"FR ARMY OF GERMANY","RANTZAU","18000",1,"18000",0,"7000","11000",8000,0,0,0,10,0,0,10,0,"DD",,,,,"0","WL",,,33,0,57,0,2,"France"
14,1,"IMP ARMY","MERCY","22000",1,"22000",0,"1000","21000",5000,0,0,0,,0,0,,0,"FF",,,"EE",,,"BB","PS",,0,-9,0,-50,9,"Holy Roman Empire"
140,0,"FR ARMY","NAPOLEON I","40000",1,"40000",0,"6000","34000",,0,0,0,70,0,0,50,0,"DO","FF",,,,"0","RR","WD",,3,0,83,0,7,"France"
140,1,"ALLIED ARMY OF SILESIA","BLUECHER","110000",3,"78000",32000,"6000","104000",,0,0,0,100,0,0,,0,"FF",,,,,,"PP",,,12,0,0,-22,8,"Prussia"
141,0,"ALLIED ARMY OF SILESIA","BLUECHER","85000",1,"85000",0,"4000","81000",,0,0,0,150,0,0,,0,"DO","FF",,,,"0","PP",,,18,0,100,-13,7,"Prussia"
141,1,"FR ARMY","NAPOLEON I","47600",3,"37600",10000,"6000","41600",,0,0,0,100,0,0,,0,"FF",,,,,,"PP","RR","WD",9,-37,100,0,4,"France"
142,0,"FR ARMY","NAPOLEON I","30000",3,"18000",12000,"5000","25000",9000,0,0,0,40,0,0,,0,"DO","FF",,,,"0",,,,7,-18,0,-20,4,"France"
142,1,"ALLIED ARMY OF BOHEMIA","SCHWARZENBERG","80000",3,"20000",60000,"3000","77000",,0,0,0,150,0,0,,0,"FF",,,,,,"PP","WD",,25,0,5,-5,7,"Austria"
143,0,"PR ARMY (ELMS)","BLUECHER","82895",1,"82895",0,"18000","64895",8630,0,0,0,216,0,0,21,0,"DD",,,,,"0","WD",,,12,0,4,-11,4,"Prussia"
143,1,"FR ARMY OF NORTH (ELEMENTS OF)","NAPOLEON I","67567",3,"49567",18000,"12000","55567",13737,0,0,0,236,0,0,0,0,"FF",,,"EE","RR",,"PP","PS",,0,-3,14,-4,7,"France"
144,0,"BR & DU ARMY (ELMS)","WELLINGTON","33765",3,"8000",25765,"4500","29265",2500,0,0,0,68,0,0,0,0,"DD",,,,,"0","SS","WD",,7,0,16,0,7,"Great Britain"
144,1,"FR ARMY OF NORTH (ELEMENTS OF)","NEY","26741",1,"26741",0,"4500","22241",6106,0,0,0,72,0,0,0,0,"FF",,,,,,"RR","SS",,0,-10,0,-9,6,"France"
145,0,"ALLIED (BR, DU, PR) ARMIES","WELLINGTON & BLUECHER","137547",3,"68000",69547,"22500","115047",23880,0,0,0,196,0,0,0,0,"DO","FF","EE",,,"0","PP","PS",,0,-9,0,-7,8,"Great Britain & Prussia"
145,1,"FR ARMY OF NORTH (ELEMENTS OF)","NAPOLEON I","68265",1,"68265",0,"25000","43265",15489,0,0,0,266,0,0,220,0,"FF",,,,,,"RR","WL",,9,0,32,0,3,"France"
146,0,"BR ARMY","PROCTOR","1800",1,"1800",0,"668","1132",,0,0,0,,0,0,,0,"DD",,,,,"0","WL",,,0,-26,5,-5,1,"Great Britain"
146,1,"US ARMY","HARRISON","3500",1,"3500",0,"29","3471",,0,0,0,,0,0,0,0,"FF",,,"EE","RF",,"PP","PS",,0,-6,5,-5,7,"USA"
147,0,"US ARMY","BROWN","2650",1,"2650",0,"335","2315",,0,0,0,4,0,0,0,0,"DO","FF","DE",,,"0","PP",,,32,0,0,-2,6,"USA"
147,1,"BR ARMY","RIALL","2100",1,"2100",0,"604","1496",200,0,0,0,6,0,0,2,0,"FF",,,,,,"RR","WL",,0,-14,0,-31,2,"Great Britain"
148,0,"BR ARMY","DRUMMOND","3000",3,"1700",1300,"878","2122",,0,0,0,9,0,0,2,0,"DD",,,,,"0",,,,0,-7,5,-5,4,"Great Britain"
148,1,"US ARMY","BROWN","2000",3,"700",1300,"860","1140",,0,0,0,16,0,0,,0,"FF","EE","LF",,,,"SS","WL",,29,0,5,-5,3,"USA"
149,0,"US ARMY","JACKSON","3200",1,"3200",0,"71","3129",,0,0,0,25,0,0,0,0,"DD",,,,,"0",,,,9,0,5,-5,8,"USA"
149,1,"BR ARMY","PAKENHAM","6000",1,"6000",0,"2600","3400",,0,0,0,24,0,0,,0,"FF",,,,,,"RR","WL",,21,0,0,-22,3,"Great Britain"
15,0,"IMP ARMY","MERCY","16000",1,"16000",0,"4000","12000",8000,0,0,0,28,0,0,28,0,"DD",,,,,"0","WD",,,31,-6,125,0,6,"Holy Roman Empire"
15,1,"FR ARMY","CONDE & TURENNE","19000",1,"19000",0,"8000","11000",8000,0,0,0,37,0,0,0,0,"FF",,,"EE","LF",,"PP","PS",,5,0,0,-25,7,"France"
150,0,"SP ARMY","BARREIRO","3000",1,"3000",0,"1800","1200",400,0,0,0,3,0,0,3,0,"DD",,,,,"0","WL",,,0,-10,0,-11,3,"Spain"
150,1,"PATRIOT ARMY","BOLIVAR","3000",1,"3000",0,"66","2934",,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,0,-33,10,0,9,"Independentalists"
151,0,"SP ARMY","LA TORRE","5180",1,"5180",0,"2908","2272",1700,0,0,0,,0,0,,0,"DD",,,,,"0","WL",,,0,-23,20,0,4,"Spain"
151,1,"PATRIOT ARMY","BOLIVAR","6400",1,"6400",0,"200","6200",2500,0,0,0,,0,0,0,0,"FF",,,"EE","RF",,"BB","PS",,2,0,10,0,9,"Independentalists"
152,0,"SP ARMY","GARCIA","2200",1,"2200",0,"250","1950",,0,0,0,2,0,0,2,0,"DD",,,,,"0","WD",,,0,-9,10,0,6,"Spain"
152,1,"PATRIOT ARMY","BOLIVAR","1800",1,"1800",0,"531","1269",,0,0,0,0,0,0,,0,"FF",,,"EE","RF",,"PP",,,11,0,0,-14,7,"Independentalists"
153,0,"PATRIOT ARMY","SUCRE","2400",1,"2400",0,"340","2060",400,0,0,0,0,0,0,,0,"DO","FF",,,,"0","PS",,,0,-16,0,0,8,"Independentalists"
153,1,"SP ARMY","AYMERICH","2500",1,"2500",0,"590","1910",300,0,0,0,14,0,0,14,0,"FF",,,,,,"RR","WL",,0,-20,1,0,3,"Spain"
154,0,"SP ARMY","CANTERAC","2000",1,"2000",0,"464","1536",2000,0,0,0,0,0,0,,0,"DO","FF",,,,"0","RR","WD",,0,-35,0,-46,3,"Spain"
154,1,"PATRIOT ARMY","BOLIVAR","2000",1,"2000",0,"145","1855",2000,0,0,0,0,0,0,,0,"FF","EE","RF",,,,"BB","PS",,0,-55,3,0,9,"Independentalists"
155,0,"PATRIOT ARMY","SUCRE","5780",1,"5780",0,"919","4861",,0,0,0,1,0,0,0,0,"DO","EE","LF",,,"0","PS",,,0,-16,0,-2,9,"Independentalists"
155,1,"SP ARMY","LA SERNA","9310",1,"9310",0,"2500","6810",,0,0,0,11,0,0,11,0,"FF",,,"EE","LF",,"RR","WL",,7,0,124,0,2,"Spain"
156,0,"MEX ARMY","SANTA ANNA","1600",1,"1600",0,"1600","0",,0,0,0,,0,0,,0,"DD",,,,,"0","AA",,,0,-25,0,-70,1,"Mexico"
156,1,"TEXAN VOL ARMY","HOUSTON","743",1,"743",0,"39","704",,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,0,-19,3,0,9,"Texas"
157,0,"MEX ARMY","ARISTA","6000",1,"6000",0,"400","5600",1000,0,0,0,12,0,0,,0,"DO","DE",,,,"0","RR","WD",,10,0,0,-25,2,"Mexico"
157,1,"US ARMY","TAYLOR","2288",1,"2288",0,"48","2240",,0,0,0,20,0,0,0,0,"FF",,,,,,"PP",,,2,0,13,0,6,"USA"
158,0,"MEX ARMY","ARISTA","5600",1,"5600",0,"600","5000",,0,0,0,8,0,0,8,0,"DD",,,,,"0","WL",,,0,-11,34,0,1,"Mexico"
158,1,"US ARMY","TAYLOR","1700",1,"1700",0,"122","1578",,0,0,0,16,0,0,0,0,"FF",,,,,,"PP","PS",,35,0,1,0,7,"USA"
159,0,"US ARMY","TAYLOR","4759",1,"4759",0,"746","4013",1018,0,0,0,16,0,0,2,0,"DD",,,,,"0",,,,5,-5,0,0,6,"USA"
159,1,"MEX ARMY","SANTA ANNA","14000",1,"14000",0,"2000","12000",,0,0,0,,0,0,,0,"FF",,,"EE","LR",,"RR","WD",,57,0,85,-25,2,"Mexico"
16,0,"SW ARMY","TORSTENSSON","15000",1,"15000",0,"2000","13000",9000,0,0,0,80,0,0,0,0,"DD",,,,,"0","PS",,,7,0,100,0,6,"Sweden"
16,1,"IMP ARMY","HATZFELD","15000",1,"15000",0,"8500","6500",10000,0,0,0,26,0,0,26,0,"FF",,,"EE","RR",,"RR","AA",,7,0,0,-6,4,"Holy Roman Empire"
160,0,"MEX ARMY","SANTA ANNA","12000",1,"12000",0,"4000","8000",,0,0,0,40,0,0,40,0,"DD",,,,,"0","WL",,,8,0,0,-1,1,"Mexico"
160,1,"US ARMY","SCOTT","8500",1,"8500",0,"431","8069",,0,0,0,7,0,0,0,0,"FF",,,"EE",,,"BB",,,6,0,0,-7,8,"USA"
161,0,"MEX ARMY","VALENCIA","4000",1,"4000",0,"1513","2487",,0,0,0,22,0,0,22,0,"DD",,,,,"0","WL",,,25,0,0,-1,1,"Mexico"
161,1,"US ARMY","PILLOW","4500",1,"4500",0,"60","4440",,0,0,0,,0,0,0,0,"FF",,,"EE","LR",,"BB","PS",,0,-11,0,-3,9,"USA"
162,0,"MEX ARMY","SANTA ANNA","10500",1,"10500",0,"3124","7376",,0,0,0,,0,0,,0,"DD",,,,,"0","WL",,,71,0,130,0,2,"Mexico"
162,1,"US ARMY","SCOTT","8497",1,"8497",0,"996","7501",,0,0,0,,0,0,0,0,"FF",,,"EE","RR",,"BB","PS",,6,-11,2,0,7,"USA"
163,0,"MEX ARMY","SANTA ANNA","12000",1,"12000",0,"2700","9300",,0,0,0,,0,0,,0,"DD",,,,,"0","WL",,,0,-17,0,-37,2,"Mexico"
163,1,"US ARMY","WORTH","3100",1,"3100",0,"792","2308",300,0,0,0,9,0,0,0,0,"FF",,,"EE","LF",,"BB","PS",,11,-3,1,-1,7,"USA"
164,0,"MEX ARMY","SANTA ANNA","15000",1,"15000",0,"1800","13200",,0,0,0,13,0,0,13,0,"DD",,,,,"0","WD",,,0,-7,0,-6,2,"Mexico"
