"isqno","war","name","locn","campgn","postype","post1","post2","front","depth","time","aeroa","surpa","cea","leada","trnga","morala","logsa","momnta","intela","techa","inita","wina","kmda","crit","quala","resa","mobila","aira","fprepa","wxa","terra","leadaa","plana","surpaa","mana","logsaa","fortsa","deepa","is_hero","war2","war3","war4","war4_theater","dbpedia","cow_warno","cow_warname","war_initiator","parent"
11,"THIRTY YEAR'S WAR","WITTSTOCK","BRANDENBURG","E GERMANY 1636",0,"PD",,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,1,1,1,0,0,,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Wittstock",,"",1,
12,"THIRTY YEAR'S WAR","BREITENFELD II","SAXONY","SAXONY 1642",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Breitenfeld_(1642)",,"",1,
13,"THIRTY YEAR'S WAR","ROCROI","FRANCE","NE FRANCE 1643",0,"HD",,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Rocroi",,"",1,
14,"THIRTY YEAR'S WAR","TUTTLINGEN","WUERTTEMBERG","SWABIA 1643",0,"HD",,0,0,0,0,2,0,2,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Tuttlingen",,"",0,
15,"THIRTY YEAR'S WAR","FREIBURG","SWABIA","SWABIA 1644",0,"PD",,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,1,0,0,0,0,0,0,,1,0,0,0,0,,,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Freiburg",,"",1,
16,"THIRTY YEAR'S WAR","JANKAU","BOHEMIA","BOHEMIA 1645",0,"HD",,0,0,0,0,3,0,,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,,0,1,1,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Jankau",,"",0,
17,"THIRTY YEAR'S WAR","MERGENTHEIM","BAVARIA","BAVARIA 1645",0,"HD",,0,0,0,0,3,0,1,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Herbsthausen",,"",0,
18,"THIRTY YEAR'S WAR","ALLERHEIM (NORDLINGEN II)","BAVARIA","BAVARIA 1645",0,"PD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Nördlingen_(1645)",,"",1,
19,"THIRTY YEAR'S WAR","LENS","FRANCE","NE FRANCE 1648",0,"HD",,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,"THIRTY YEAR'S WAR","THIRTY YEAR'S WAR","Thirty Years' War of 1618-1648","","http://dbpedia.org/resource/Battle_of_Lens",,"",1,
20,"ENGLISH CIVIL WAR","EDGEHILL","ENGLAND","EDGEHILL",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ENGLISH CIVIL WAR","ENGLISH CIVIL WAR","First English Civil War of 1642-1646","","http://dbpedia.org/resource/Battle_of_Edgehill",,"",1,
21,"ENGLISH CIVIL WAR","MARSTON MOOR","ENGLAND","YORK",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"ENGLISH CIVIL WAR","ENGLISH CIVIL WAR","First English Civil War of 1642-1646","","http://dbpedia.org/resource/Battle_of_Marston_Moor",,"",1,
22,"ENGLISH CIVIL WAR","TIPPERMUIR","SCOTLAND","ABERDEEN",0,"HD",,0,0,0,0,0,,,0,0,0,0,0,0,0,,,1,,0,0,0,0,0,0,,0,0,0,0,0,0,1,"ENGLISH CIVIL WAR","ENGLISH CIVIL WAR","First English Civil War of 1642-1646","","http://dbpedia.org/resource/Battle_of_Tippermuir",,"",0,
23,"ENGLISH CIVIL WAR","KILSYTH","SCOTLAND","KILSYTH",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.8,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"ENGLISH CIVIL WAR","ENGLISH CIVIL WAR","First English Civil War of 1642-1646","","http://dbpedia.org/resource/Battle_of_Kilsyth",,"",1,
24,"ENGLISH CIVIL WAR","NEWBURY II","ENGLAND","NEWBURY II",1,"HD","PD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,2,0,0,0,0,0,0,0,0,,0,0,0,,0,1,"ENGLISH CIVIL WAR","ENGLISH CIVIL WAR","First English Civil War of 1642-1646","","http://dbpedia.org/resource/Second_Battle_of_Newbury",,"",0,
25,"ENGLISH CIVIL WAR","NASEBY","ENGLAND","NASEBY",0,"HD",,0,0,0,0,0,0,,0,0,0,0,0,0,1,,,1,0,0,0,0,,0,0,,0,0,0,0,0,0,1,"ENGLISH CIVIL WAR","ENGLISH CIVIL WAR","First English Civil War of 1642-1646","","http://dbpedia.org/resource/Battle_of_Naseby",,"",1,
26,"SECOND ENGLISH CIVIL WAR","PRESTON","ENGLAND","PRESTON",0,"HD",,0,0,0,0,2,1,2,1,0,0,0,1,0,1,1,,1,1,0,0,0,,0,0,1,1,2,0,0,0,0,1,"SECOND ENGLISH CIVIL WAR","SECOND ENGLISH CIVIL WAR","Second English Civil War of 1648-1649","","http://dbpedia.org/resource/Battle_of_Preston_(1648)",,"",0,
27,"SECOND ENGLISH CIVIL WAR","DUNBAR","SCOTLAND","DUNBAR",0,"HD",,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0.8,1,1,0,0,0,0,1,,1,1,2,0,0,,0,1,"SECOND ENGLISH CIVIL WAR","SECOND ENGLISH CIVIL WAR","Second English Civil War of 1648-1649","","http://dbpedia.org/resource/Battle_of_Dunbar_(1650)",,"",0,
28,"SECOND ENGLISH CIVIL WAR","WORCESTER","ENGLAND","WORCESTER",1,"HD","PD",1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,,1,0,0,0,0,,0,1,"SECOND ENGLISH CIVIL WAR","SECOND ENGLISH CIVIL WAR","Second English Civil War of 1648-1649","","http://dbpedia.org/resource/Battle_of_Worcester",,"",0,
29,"THE FRONDE","ST. ANTOINE","FRANCE","THE FRONDE",1,"HD","PD",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,,0,1,"THE FRONDE","THE FRONDE","The Fronde of 1648-1653","","http://dbpedia.org/resource/Battle_of_the_Faubourg_St_Antoine",,"",0,
30,"FRANCO-SPANISH WAR","THE DUNES","SPANISH NETHERLANDS","DUNKIRK 1658",0,"HD",,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2.1,1,1,1,1,0,0,0,,2,1,1,0,0,0,0,1,"FRANCO-SPANISH WAR","FRANCO-SPANISH WAR","Franco–Spanish War of 1635–1659","","http://dbpedia.org/resource/Battle_of_the_Dunes_(1658)",,"",1,
31,"AUSTRO-TURKISH WAR","THE RAAB","HUNGARY","HUNGARY 1664",0,"HD",,0,0,0,0,0,,,,0,0,0,0,0,0,,0,1,,0,0,0,1,0,,,0,0,0,0,0,0,1,"AUSTRO-TURKISH WAR, 1662-1683","AUSTRO-TURKISH WAR, 1662-1683","Austro-Turkish_War of 1663–1664","","http://dbpedia.org/resource/Battle_of_Saint_Gotthard_(1664)",,"",1,
32,"AUSTRO-TURKISH WAR","VIENNA","AUSTRIA","AUSTRIA 1683",1,"HD","PD",1,1,0,0,2,1,1,1,0,0,0,0,0,1,1,4,1,1,0,0,0,0,0,0,1,1,1,0,0,,0,1,"AUSTRO-TURKISH WAR, 1662-1683","AUSTRO-TURKISH WAR, 1662-1683","Great Turkish War of 1683-1699","","http://dbpedia.org/resource/Battle_of_Vienna",,"",0,
33,"POLISH-TURKISH WAR","CHOCIM II","POLAND","CHOCIM",0,"PD",,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,,1,1,0,0,0,0,1,0,1,0,1,0,0,,0,1,"POLISH-TURKISH WAR","POLISH-TURKISH WAR","Polish-Ottoman War of 1672-1676","","http://dbpedia.org/resource/Battle_of_Khotyn_(1673)",,"",0,
34,"DUTCH WAR","SINSHEIM","GERMANY","RHINELAND 1674",0,"HD",,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,,1,0,0,0,0,0,0,,2,1,0,,0,0,0,1,"DUTCH WAR","DUTCH WAR","Franco-Dutch War of 1672-1678","","http://dbpedia.org/resource/Battle_of_Sinsheim",,"",1,
35,"DUTCH WAR","SENEF","SPANISH NETHERLANDS","SPANISH NETHERLANDS 1674",0,"HD",,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,"DUTCH WAR","DUTCH WAR","Franco-Dutch War of 1672-1678","","http://dbpedia.org/resource/Battle_of_Seneffe",,"",1,
36,"DUTCH WAR","ENZHEIM","GERMANY","RHINELAND 1674",1,"HD","PD",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.4,2,0,0,0,0,0,0,,1,1,0,0,0,,0,1,"DUTCH WAR","DUTCH WAR","Franco-Dutch War of 1672-1678","","http://dbpedia.org/resource/Battle_of_Enzheim",,"",1,
37,"DUTCH WAR","TURCKHEIM","GERMANY","RHINELAND 1675",0,"HD",,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,"DUTCH WAR","DUTCH WAR","Franco-Dutch War of 1672-1678","","http://dbpedia.org/resource/Battle_of_Turckheim",,"",1,
38,"DUTCH WAR","FEHRBELLIN","BRANDENBURG","BRANDENBURG 1675",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6.4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"DUTCH WAR","DUTCH WAR","Franco-Dutch War of 1672-1678","","http://dbpedia.org/resource/Battle_of_Fehrbellin",,"",0,
39,"MONMOUTH'S REBELLION","SEDGEMOOR","ENGLAND","SEDGEMOOR",0,"HD",,0,0,0,0,1,,,,0,0,0,0,0,1,,,1,,,0,0,0,1,,,0,1,0,0,0,0,1,"MONMOUTH'S REBELLION","MONMOUTH'S REBELLION","Monmouth Rebellion of 1685","","http://dbpedia.org/resource/Battle_of_Sedgemoor",,"",1,
40,"KING WILLIAM'S WAR","KILLIECRANKIE","SCOTLAND","KILLIECRANKIE",0,"HD",,0,0,0,0,0,0,1,,0,0,0,0,0,2,1,0.8,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,"KING WILLIAM'S WAR","KING WILLIAM'S WAR","Nine Years' War of 1688-1697","","http://dbpedia.org/resource/Battle_of_Killiecrankie",,"",1,
41,"KING WILLIAM'S WAR","WALCOURT","FRANCE","FLANDERS 1689",0,"HD",,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,,,0,0,0,0,0,,1,"KING WILLIAM'S WAR","KING WILLIAM'S WAR","Nine Years' War of 1688-1697","","http://dbpedia.org/resource/Battle_of_Walcourt",,"",1,
42,"KING WILLIAM'S WAR","FLEURUS","NETHERLANDS","FLEURUS 1690",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"KING WILLIAM'S WAR","KING WILLIAM'S WAR","Nine Years' War of 1688-1697","","http://dbpedia.org/resource/Battle_of_Fleurus_(1690)",,"",1,
43,"KING WILLIAM'S WAR","THE BOYNE","IRELAND","BOYNE",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,1,"KING WILLIAM'S WAR","KING WILLIAM'S WAR","Nine Years' War of 1688-1697","","http://dbpedia.org/resource/Battle_of_the_Boyne",,"",0,
44,"KING WILLIAM'S WAR","AUGHRIM","IRELAND","AUGHRIM",1,"HD","PD",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,"KING WILLIAM'S WAR","KING WILLIAM'S WAR","Nine Years' War of 1688-1697","","http://dbpedia.org/resource/Battle_of_Aughrim",,"",0,
45,"KING WILLIAM'S WAR","STEENKERKE","SPANISH NETHERLANDS","FLANDERS 1692",1,"HD","PD",1,0,0,0,0,0,,0,0,0,0,0,0,1,,0,1,0,,0,0,0,0,,,1,0,,0,,,1,"KING WILLIAM'S WAR","KING WILLIAM'S WAR","Nine Years' War of 1688-1697","","http://dbpedia.org/resource/Battle_of_Steenkerque",,"",0,
46,"KING WILLIAM'S WAR","NEERWINDEN (LANDEN)","SPANISH NETHERLANDS","FLANDERS 1693",1,"HD","PD",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,,1,0,0,0,0,,0,1,"KING WILLIAM'S WAR","KING WILLIAM'S WAR","Nine Years' War of 1688-1697","","http://dbpedia.org/resource/Battle_of_Landen",,"",1,
47,"KING WILLIAM'S WAR","MARSAGLIA","PIEDMONT","PIEDMONT 1693",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2.4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"KING WILLIAM'S WAR","KING WILLIAM'S WAR","Nine Years' War of 1688-1697","","http://dbpedia.org/resource/Battle_of_Marsaglia",,"",1,
48,"AUSTRO-TURKISH WAR","ZENTA","HUNGARY","HUNGARY 1697",0,"PD",,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,,0,0,2,1,1,0,0,,0,1,"AUSTRO-TURKISH WAR, 1688-1699","AUSTRO-TURKISH WAR, 1688-1699","Great Turkish War of 1683-1699","","http://dbpedia.org/resource/Battle_of_Zenta",,"",0,
49,"GREAT NORTHERN WAR","POLTAVA","RUSSIA","POLTAVA",0,"PD",,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,,1,1,,0,0,,0,0,0,0,0,0,,,,1,"GREAT NORTHERN WAR","GREAT NORTHERN WAR","Great Northern War of 1700-1721","","http://dbpedia.org/resource/Battle_of_Poltava",,"",0,
50,"WAR OF THE SPANISH SUCCESSION","BLENHEIM","BAVARIA","BLENHEIM",0,"HD",,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2.7,1,0,0,0,0,0,0,,2,1,0,0,0,0,0,1,"WAR OF THE SPANISH SUCCESSION","WAR OF THE SPANISH SUCCESSION","War of the Spanish Succession of 1701-1714","","http://dbpedia.org/resource/Battle_of_Blenheim",,"",1,
51,"WAR OF THE SPANISH SUCCESSION","RAMILLIES","SPANISH NETHERLANDS","RAMILLIES",1,"HD","PD",1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,2,1,0,0,0,,0,1,"WAR OF THE SPANISH SUCCESSION","WAR OF THE SPANISH SUCCESSION","War of the Spanish Succession of 1701-1714","","http://dbpedia.org/resource/Battle_of_Ramillies",,"",1,
52,"WAR OF THE SPANISH SUCCESSION","OUDENARDE","SPANISH NETHERLANDS","OUDENARDE",0,"HD",,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,2.4,1,0,0,0,0,0,0,,2,1,0,0,0,0,0,1,"WAR OF THE SPANISH SUCCESSION","WAR OF THE SPANISH SUCCESSION","War of the Spanish Succession of 1701-1714","","http://dbpedia.org/resource/Battle_of_Oudenarde",,"",1,
53,"WAR OF THE SPANISH SUCCESSION","MALPLAQUET","SPANISH NETHERLANDS","MALPLAQUET",0,"PD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4,1,0,0,0,0,0,0,,0,0,0,0,0,,0,1,"WAR OF THE SPANISH SUCCESSION","WAR OF THE SPANISH SUCCESSION","War of the Spanish Succession of 1701-1714","","http://dbpedia.org/resource/Battle_of_Malplaquet",,"",1,
54,"AUSTRO-TURKISH WAR","PETERWARDEIN","KINGDOM OF HUNGARY","HUNGARY 1716",0,"HD",,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,"AUSTRO-TURKISH WAR, 1716-1718","AUSTRO-TURKISH WAR, 1716-1718","Austro-Turkish War of 1716–1718","","http://dbpedia.org/resource/Battle_of_Petrovaradin",,"",0,
55,"WAR OF THE AUSTRIAN SUCCESSION","MOLLWITZ","SILESIA","SILESIAN",0,"HD",,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"WAR OF THE AUSTRIAN SUCCESSION","WAR OF THE AUSTRIAN SUCCESSION","War of the Austrian Succession of 1740-1748","","http://dbpedia.org/resource/Battle_of_Mollwitz",,"",0,
56,"WAR OF THE AUSTRIAN SUCCESSION","CHOTUSITZ","BOHEMIA","BOHEMIA 1742",0,"HD",,0,0,0,0,1,,,0,0,0,0,0,0,1,,,1,,1,0,0,0,0,0,,0,1,0,0,0,0,1,"WAR OF THE AUSTRIAN SUCCESSION","WAR OF THE AUSTRIAN SUCCESSION","War of the Austrian Succession of 1740-1748","","http://dbpedia.org/resource/Battle_of_Chotusitz",,"",0,
57,"WAR OF THE AUSTRIAN SUCCESSION","DETTINGEN","BAVARIA","DETTINGEN",0,"HD",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.2,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,"WAR OF THE AUSTRIAN SUCCESSION","WAR OF THE AUSTRIAN SUCCESSION","War of the Austrian Succession of 1740-1748","","http://dbpedia.org/resource/Battle_of_Dettingen",,"",0,
58,"WAR OF THE AUSTRIAN SUCCESSION","FONTENOY","AUSTRIAN NETHERLANDS","FONTENOY",1,"HD","PD",1,0,0,0,0,0,,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0,,0,,0,1,"WAR OF THE AUSTRIAN SUCCESSION","WAR OF THE AUSTRIAN SUCCESSION","War of the Austrian Succession of 1740-1748","","http://dbpedia.org/resource/Battle_of_Fontenoy",,"",0,
59,"WAR OF THE AUSTRIAN SUCCESSION","HOHENFRIEDBERG","SILESIA","HOHENFRIEDBERG",0,"HD",,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1.8,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,"WAR OF THE AUSTRIAN SUCCESSION","WAR OF THE AUSTRIAN SUCCESSION","War of the Austrian Succession of 1740-1748","","http://dbpedia.org/resource/Battle_of_Hohenfriedberg",,"",1,
60,"WAR OF THE AUSTRIAN SUCCESSION","SOOR","SILESIA","SOOR",0,"HD",,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"WAR OF THE AUSTRIAN SUCCESSION","WAR OF THE AUSTRIAN SUCCESSION","War of the Austrian Succession of 1740-1748","","http://dbpedia.org/resource/Battle_of_Soor",,"",1,
61,"WAR OF THE AUSTRIAN SUCCESSION","KESSELDORF","SAXONY","ELBE",0,"HD",,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,"WAR OF THE AUSTRIAN SUCCESSION","WAR OF THE AUSTRIAN SUCCESSION","War of the Austrian Succession of 1740-1748","","http://dbpedia.org/resource/Battle_of_Kesselsdorf",,"",1,
62,"JACOBITE REBELLION","PRESTONPANS","SCOTLAND","PRESTONPANS",0,"HD",,0,0,0,0,2,0,1,,0,0,0,2,0,3,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,"JACOBITE REBELLION","JACOBITE REBELLION","Jacobite Rising of 1745","","http://dbpedia.org/resource/Battle_of_Prestonpans",,"",0,
63,"JACOBITE REBELLION","CULLODEN","SCOTLAND","CULLODEN",0,"HD",,0,0,0,0,0,0,,,0,0,0,0,0,1,,0,1,,,,0,,0,0,,0,0,0,0,0,0,1,"JACOBITE REBELLION","JACOBITE REBELLION","Jacobite Rising of 1745","","http://dbpedia.org/resource/Battle_of_Culloden",,"",0,
64,"THE SEVEN YEAR'S WAR","LOBOSITZ","BOHEMIA","PIRNA-LOBOSITZ",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"THE SEVEN YEAR'S WAR","THE SEVEN YEAR'S WAR","Seven Years' War of 1754-1763","","http://dbpedia.org/resource/Battle_of_Lobositz",,"",1,
65,"THE SEVEN YEAR'S WAR","PRAGUE","BOHEMIA","BOHEMIA 1757",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.6,1,0,0,0,0,0,0,,2,1,0,0,0,0,0,1,"THE SEVEN YEAR'S WAR","THE SEVEN YEAR'S WAR","Seven Years' War of 1754-1763","","http://dbpedia.org/resource/Battle_of_Prague_(1757)",,"",1,
66,"THE SEVEN YEAR'S WAR","PLASSEY","BENGAL","W BENGAL",0,"HD",,0,0,0,0,0,,,,0,0,0,0,0,0,,,1,,0,0,0,1,,0,,0,0,0,0,0,0,1,"THE SEVEN YEAR'S WAR","THE SEVEN YEAR'S WAR","Seven Years' War of 1754-1763","","http://dbpedia.org/resource/Battle_of_Plassey",,"",0,
67,"THE SEVEN YEAR'S WAR","KOLIN","BOHEMIA","BOHEMIA 1757",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,,0,,,,0,0,0,0,0,1,"THE SEVEN YEAR'S WAR","THE SEVEN YEAR'S WAR","Seven Years' War of 1754-1763","","http://dbpedia.org/resource/Battle_of_Kolín",,"",1,
68,"THE SEVEN YEAR'S WAR","HASTENBECK","HONAOVER","HASTENBECK",0,"PD",,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,"THE SEVEN YEAR'S WAR","THE SEVEN YEAR'S WAR","Seven Years' War of 1754-1763","","http://dbpedia.org/resource/Battle_of_Hastenbeck",,"",0,
69,"THE SEVEN YEAR'S WAR","ROSSBACH","SAXONY","ROSSBACH",0,"HD",,0,0,0,0,,,,,0,0,0,,0,,,,1,,0,,0,0,0,,,0,,,0,0,0,1,"THE SEVEN YEAR'S WAR","THE SEVEN YEAR'S WAR","Seven Years' War of 1754-1763","","http://dbpedia.org/resource/Battle_of_Rossbach",,"",0,
