"isqno","nam","co","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","attacker","surp","countries"
28,"ENG PARL ARMY","CROMWELL",28000,"ENG PARL ARMY",28000,0,1000,27000,9000,0,0,0,,0,0,0,0,"FF",,,,,,"BB","PS",,7,0,0,-300,9,TRUE,"ENG PARL ARMY","English Parliament"
29,"FR ROY ARMY","TURENNE",12000,"FR ROY ARMY",12000,0,4000,8000,,0,0,0,,0,0,,0,"FF",,,,,,"PP",,,0,-10,0,-50,8,TRUE,"FR ROY ARMY","France"
30,"FR ARMY","TURENNE",15000,"FR ARMY",15000,0,2000,13000,6000,0,0,0,,0,0,0,0,"EE","RF",,"FF",,,"BB","PS",,0,-13,0,-50,8,TRUE,"FR ARMY","France"
31,"TURK ARMY","AHMED KOPRULU",60000,"TURK ARMY",60000,0,8000,52000,20000,0,0,0,20,0,0,20,0,"FF",,,,,,"RR","WD",,0,-17,20,0,4,TRUE,"TURK ARMY","Ottoman Empire"
32,"IMP ALLIED ARMY","LORRAINE & SOBIESKI",76000,"IMP ALLIED ARMY",76000,0,2000,74000,34000,0,0,0,186,0,0,0,0,"EE","RF",,"FF",,,"BB","PS",,5,-5,0,-60,9,TRUE,"IMP ALLIED ARMY","Holy Roman Empire"
33,"POL ARMY","SOBIESKI",50000,"POL ARMY",50000,0,1000,49000,,0,0,0,,0,0,,0,"FF",,,"EE","LR",,"BB","PS",,0,-20,100,0,8,TRUE,"POL ARMY","Poland"
34,"FR ARMY","TURENNE",9500,"FR ARMY",9500,0,1500,8000,6000,0,0,0,6,0,0,0,0,"FF",,,"DE",,,"PP",,,0,-11,0,-27,9,TRUE,"FR ARMY","France"
35,"FR ARMY","CONDE",50000,"FR ARMY",50000,0,10000,40000,15000,0,0,0,,0,0,,0,"FF",,,,,,"PP","WD",,0,-10,0,-30,8,TRUE,"FR ARMY","France"
36,"FR ARMY","TURENNE",22000,"FR ARMY",22000,0,3500,18500,10000,0,0,0,30,0,0,0,0,"FF",,,,,,"PP","WD",,5,-5,0,-29,6,TRUE,"FR ARMY","France"
37,"FR ARMY","TURENNE",33000,"FR ARMY",33000,0,1100,31900,,0,0,0,,0,0,,0,"EE","RF",,"FF",,,"PP",,,0,-9,9,0,9,TRUE,"FR ARMY","France"
38,"PR ARMY","FREDERICK WILLIAM",6000,"PR ARMY",6000,0,500,5500,6000,0,0,0,13,0,0,0,0,"FF",,,"EE","RF",,"BB","PS",,0,-7,10,-10,9,TRUE,"PR ARMY","Prussia"
39,"ENG REB ARMY","MONMOUTH",4000,"ENG REB ARMY",4000,0,1500,2500,800,0,0,0,4,0,0,4,0,"FF",,,,,,"RR","WL",,0,-8,0,-13,2,TRUE,"ENG REB ARMY","English Rebels"
40,"SCOTS REB ARMY","DUNDEE",2800,"SCOTS REB ARMY",2800,0,600,2200,,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,114,0,0,-33,8,TRUE,"SCOTS REB ARMY","Jacobites"
41,"FR ARMY","D'HUMIERES",24000,"FR ARMY",24000,0,2000,22000,,0,0,0,20,0,0,6,0,"FF",,,,,,"PP","WD",,0,-8,0,-70,4,TRUE,"FR ARMY","France"
42,"FR ARMY","LUXEMBOURG",50000,"FR ARMY",50000,0,6000,44000,,0,0,0,,0,0,,0,"DE",,,,,,"BB","PS",,0,-20,20,-10,9,TRUE,"FR ARMY","France"
43,"ENG ARMY","WILLIAM III",35000,"ENG ARMY",35000,0,2000,33000,8000,0,0,0,50,0,0,0,0,"FF","EE","LR",,,,"PP",,,3,0,100,0,9,TRUE,"ENG ARMY","England"
44,"ENG ARMY","GINCKEL",18000,"ENG ARMY",18000,0,2700,15300,,0,0,0,,0,0,,0,"FF",,,,,,"BB","PS",,0,-5,11,-19,9,TRUE,"ENG ARMY","England"
45,"ALLIED ARMY","WILLIAM III",63000,"ALLIED ARMY",63000,0,8000,55000,15000,0,0,0,70,0,0,10,0,"FF",,,,,,"PP","RR","WD",11,0,7,0,3,TRUE,"ALLIED ARMY","England"
46,"FR ARMY","LUXEMBOURG",80000,"FR ARMY",80000,0,9000,71000,29000,0,0,0,71,0,0,,0,"FF",,,,,,"BB","PS",,0,-5,0,-11,8,TRUE,"FR ARMY","France"
47,"FR ARMY","CATINAT",40000,"FR ARMY",40000,0,3000,37000,10000,0,0,0,30,0,0,,0,"FF","EE","LF",,,,"BB","PS",,0,-5,0,-33,9,TRUE,"FR ARMY","France"
48,"AUS ARMY","EUGENE",50000,"AUS ARMY",50000,0,500,49500,16000,0,0,0,60,0,0,0,0,"FF",,,,,,"BB","PS",,0,-10,0,-5,9,TRUE,"AUS ARMY","Holy Roman Empire"
49,"SW ARMY","CHARLES XII",21500,"SW ARMY",21500,0,9600,11900,8500,0,0,0,4,0,0,4,0,"FF",,,,,,"PP","RR","WL",21,-7,25,0,4,TRUE,"SW ARMY","Sweden"
50,"ALLIED ARMY","MARLBOROUGH & EUGENE",52000,"ALLIED ARMY",52000,0,12883,39117,20000,0,0,0,60,0,0,,0,"FF",,,,,,"BB","PS",,12,-4,1,-15,9,TRUE,"ALLIED ARMY","England|Holy Roman Empire"
51,"ALLIED ARMY","MARLBOROUGH",62000,"ALLIED ARMY",62000,0,3620,58380,16000,0,0,0,120,0,0,,0,"EE","RF",,,,,"BB","PS",,0,-3,38,0,9,TRUE,"ALLIED ARMY","England"
52,"ALLIED ARMY","MARLBOROUGH & EUGENE",80000,"ALLIED ARMY",80000,0,4000,76000,21000,0,0,0,32,0,0,,0,"FF",,,"DE",,,"BB","PS",,13,0,50,-24,9,TRUE,"ALLIED ARMY","England|Holy Roman Empire"
53,"ALLIED ARMY","MARLBOROUGH & EUGENE",110000,"ALLIED ARMY",110000,0,24000,86000,25000,0,0,0,100,0,0,,0,"FF",,,"EE","LF",,"PP",,,0,-17,4,-15,8,TRUE,"ALLIED ARMY","England|Holy Roman Empire"
54,"AUS ARMY","EUGENE",63000,"AUS ARMY",63000,0,4500,58500,22000,0,0,0,,0,0,0,0,"FF",,,,,,"PP","BB","PS",0,-5,0,-33,9,TRUE,"AUS ARMY","Habsburg Empire"
55,"AUS ARMY","NEIPPERG",18100,"AUS ARMY",18100,0,4551,13549,9000,0,0,0,19,0,0,7,0,"FF",,,,,,"RR","WD",,0,-13,0,-1,4,TRUE,"AUS ARMY","Habsburg Empire"
56,"AUS ARMY","LORRAINE",29000,"AUS ARMY",29000,0,6332,22668,10000,0,0,0,40,0,0,16,0,"FF",,,,,,"RR","WD",,0,-3,0,-1,5,TRUE,"AUS ARMY","Habsburg Empire"
57,"BR & HAN ARMY","GEORGE II",35000,"BR & HAN ARMY",35000,0,2500,32500,8000,0,0,0,98,0,0,1,0,"FF",,,,,,"PP","PS",,6,0,0,-4,6,TRUE,"BR & HAN ARMY","Great Britain"
58,"BR ALLIED ARMY","CUMBERLAND",50000,"BR ALLIED ARMY",50000,0,12000,38000,10000,0,0,0,101,0,0,32,0,"FF",,,"FE",,,"RR","WD",,6,0,0,-42,4,TRUE,"BR ALLIED ARMY","Great Britain"
59,"PR ARMY","FREDERICK II",50000,"PR ARMY",50000,0,4737,45263,19900,0,0,0,192,0,0,,0,"FF",,,,,,"BB","PS",,40,0,1,0,9,TRUE,"PR ARMY","Prussia"
60,"PR ARMY","FREDERICK II",22562,"PR ARMY",22562,0,3876,18686,5852,0,0,0,60,0,0,,0,"FF",,,"EE","LR",,"PP","PS",,0,-3,3,0,9,TRUE,"PR ARMY","Prussia"
61,"PR ARMY","ANHALT-DESSAU",31000,"PR ARMY",31000,0,5000,26000,9000,0,0,0,33,0,0,0,0,"FF",,,"EE","LR",,"BB","PS",,13,0,2,0,9,TRUE,"PR ARMY","Prussia"
62,"SCOT REB ARMY","PRINCE CHARLES EDWARD",2400,"SCOT REB ARMY",2400,0,110,2290,40,0,0,0,2,0,0,0,0,"FF",,,,,,"BB","PS",,4,0,5,0,9,TRUE,"SCOT REB ARMY","Jacobites"
63,"SCOT REB ARMY","PRINCE CHARLES EDWARD",5400,"SCOT REB ARMY",5400,0,1558,3842,400,0,0,0,12,0,0,12,0,"FF",,,,,,"PP","RR","WL",11,-7,0,-19,3,TRUE,"SCOT REB ARMY","Jacobites"
64,"PR ARMY","FREDERICK II",29000,"PR ARMY",29000,0,2906,26094,10800,0,0,0,97,0,0,,0,"FF",,,,,,"PP",,,3,0,17,0,8,TRUE,"PR ARMY","Prussia"
65,"PR ARMY","FREDERICK II",65000,"PR ARMY",65000,0,14300,50700,17000,0,0,0,214,0,0,5,0,"FF",,,"EE","RF",,"BB","PS",,0,-2,1,0,9,TRUE,"PR ARMY","Prussia"
66,"BENGALI ARMY","SIRAJ UD-DAULA",50050,"BENGALI ARMY",50050,0,500,49550,15000,0,0,0,53,0,0,53,0,"FF",,,,,,"RR","WD",,6,0,20,0,2,TRUE,"BENGALI ARMY","Bengal"
67,"PR ARMY","FREDERICK II",32000,"PR ARMY",32000,0,13768,18232,14000,0,0,0,88,0,0,45,0,"FF",,,"EE","RF",,"RR","WD",,3,0,2,0,5,TRUE,"PR ARMY","Prussia"
68,"FR ARMY","ESTREES",60000,"FR ARMY",60000,0,2500,57500,10000,0,0,0,68,0,0,11,0,"FF","EE","RR",,,,"PP","WD",,5,-5,0,-7,5,TRUE,"FR ARMY","France"
69,"FR & GER ARMY","SOUBISE & SAXE-HILDBURGHAUSEN",42000,"FR & GER ARMY",42000,0,10150,31850,10000,0,0,0,115,0,0,72,0,"EE","LF",,,,,"RR","WL",,0,-2,0,-17,3,TRUE,"FR & GER ARMY","France|Austria"
70,"PR ARMY","FREDERICK II",33000,"PR ARMY",33000,0,11589,21411,11000,0,0,0,167,0,0,,0,"EE","LF",,"FE",,,"BB","PS",,6,0,0,-47,10,TRUE,"PR ARMY","Prussia"
71,"PR ALLIED ARMY","FERDINAND",32000,"PR ALLIED ARMY",32000,0,1800,30200,,0,0,0,,0,0,,0,"EE","LR",,,,,"BB",,,3,0,0,-14,8,TRUE,"PR ALLIED ARMY","Hanover"
72,"PR ARMY","FREDERICK II",36000,"PR ARMY",36000,0,12797,23203,10500,0,0,0,193,0,0,26,0,"FF",,,,,,"PP","WD",,0,-8,0,-2,7,TRUE,"PR ARMY","Prussia"
73,"AUS ARMY","DAUN",80000,"AUS ARMY",80000,0,7587,72413,28000,0,0,0,340,0,0,10,0,"FF","DE",,,,,"BB","PS",,0,-19,2,0,9,TRUE,"AUS ARMY","Austria"
74,"PR & ALLIED ARMY","BRUNSWICK",24000,"PR & ALLIED ARMY",24000,0,2800,21200,,0,0,0,21,0,0,2,0,"FF",,,,,,"PP","WD",,13,0,0,-40,3,TRUE,"PR & ALLIED ARMY","Hanover"
75,"PR & ALLIED ARMY","BRUNSWICK",45000,"PR & ALLIED ARMY",45000,0,2762,42238,,0,0,0,187,0,0,0,0,"FF",,,,,,"PP","PS",,0,-16,5,0,9,TRUE,"PR & ALLIED ARMY","Hanover"
76,"PR ARMY","FREDERICK II",50900,"PR ARMY",50900,0,19100,31800,13000,0,0,0,240,0,0,172,0,"FF",,,"FE","LR",,,,,0,-6,8,0,3,TRUE,"PR ARMY","Prussia"
77,"FR ARMY","MONTCALM",4500,"FR ARMY",4500,0,1500,3000,0,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,11,-11,0,-20,3,TRUE,"FR ARMY","France"
78,"AUS ARMY","DAUN",38000,"AUS ARMY",38000,0,1000,37000,,0,0,0,,0,0,0,0,"DE",,,,,,,,,11,0,0,-70,8,TRUE,"AUS ARMY","Austria"
79,"PR & ALLIED ARMY","BRUNSWICK",19000,"PR & ALLIED ARMY",19000,0,1300,17700,5700,0,0,0,,0,0,,0,"EE","LF",,"FE",,,"PP","PS",,26,0,0,-5,9,TRUE,"PR & ALLIED ARMY","Hanover"
80,"AUS & RUSS ARMY","DAUN & LAUDON",30000,"AUS & RUSS ARMY",30000,0,6000,24000,9000,0,0,0,130,0,0,74,0,"EE","LF",,,,,"PP",,,0,-20,42,0,2,TRUE,"AUS & RUSS ARMY","Austria"
81,"PR ARMY","FREDERICK II",50000,"PR ARMY",50000,0,16670,33330,12000,0,0,0,,0,0,,0,"EE","RR",,"FF","EE","RF","PP",,,14,0,19,0,8,TRUE,"PR ARMY","Prussia"
82,"BR ARMY","GAGE",2650,"BR ARMY",2650,0,1054,1596,0,0,0,0,,0,0,,0,"FF",,,,,,"BB",,,0,-9,9,0,7,TRUE,"BR ARMY","Great Britain"
83,"AM ARMY","MONTGOMERY",1100,"AM ARMY",1100,0,486,614,,0,0,0,1,0,0,1,0,"FF",,,,,,"RR","WD",,0,-27,13,-2,4,TRUE,"AM ARMY","USA"
84,"BR ARMY","HOWE",13000,"BR ARMY",13000,0,313,12687,,0,0,0,12,0,0,0,0,"FF",,,,,,,,,0,-10,0,-23,7,TRUE,"BR ARMY","Great Britain"
85,"AM ARMY","WASHINGTON",2420,"AM ARMY",2420,0,12,2408,20,0,0,0,18,0,0,0,0,"FF",,,"DE",,,"BB","PS",,5,-5,0,-50,9,TRUE,"AM ARMY","USA"
86,"AM ARMY","WASHINGTON",4800,"AM ARMY",1250,3550,44,4756,,0,0,0,5,0,0,0,0,"FF",,,"EE","LF",,"BB",,,0,-6,9,0,8,TRUE,"AM ARMY","USA"
87,"BR ARMY","BURGOYNE",4400,"BR ARMY",3300,1100,556,3844,,0,0,0,10,0,0,0,0,"FF",,,,,,"SS","WD",,0,-14,8,0,5,TRUE,"BR ARMY","Great Britain"
88,"AM ARMY","WASHINGTON",11200,"AM ARMY",11200,0,1090,10110,,0,0,0,,0,0,0,0,"FF",,,"DE",,,"RR","WD",,0,-2,0,-2,4,TRUE,"AM ARMY","USA"
89,"BR ARMY","BURGOYNE",5000,"BR ARMY",5000,0,600,4400,0,0,0,0,10,0,0,0,0,"FF",,,,,,"RR","WD",,0,-20,10,-10,4,TRUE,"BR ARMY","Great Britain"
90,"BR ARMY","CLINTON",13000,"BR ARMY",2000,11000,358,12642,,0,0,0,16,0,0,0,0,"FF",,,,,,"RR","WD",,10,-10,5,-5,6,TRUE,"BR ARMY","Great Britain"
91,"BR ARMY","CORNWALLIS",2100,"BR ARMY",2100,0,324,1776,0,0,0,0,4,0,0,0,0,"FF",,,,,,"BB","PS",,7,0,5,-5,7,TRUE,"BR ARMY","Great Britain"
92,"BR ARMY","TARLETON",1100,"BR ARMY",1100,0,929,171,350,0,0,0,2,0,0,2,0,"FF",,,,,,"RR","AA",,0,-10,0,-13,2,TRUE,"BR ARMY","Great Britain"
93,"BR ARMY","CORNWALLIS",1900,"BR ARMY",1900,0,532,1368,155,0,0,0,2,0,0,0,0,"FF",,,,,,"PP",,,0,-16,22,0,6,TRUE,"BR ARMY","Great Britain"
94,"BR ARMY","RAWDON",900,"BR ARMY",900,0,258,642,60,0,0,0,0,0,0,,0,"FF",,,,,,"PP",,,5,-5,5,-5,9,TRUE,"BR ARMY","Great Britain"
95,"AM ARMY","GREENE",2200,"AM ARMY",2200,0,554,1646,0,0,0,0,4,0,0,4,0,"FF",,,,,,"RR","WD",,11,0,0,-6,4,TRUE,"AM ARMY","USA"
96,"ALLIED ARMY","BRUNSWICK",34000,"ALLIED ARMY",34000,0,350,33650,,0,0,0,58,0,0,,0,"FF",,,,,,"SS","WD",,3,0,0,-49,3,TRUE,"ALLIED ARMY","Prussia"
97,"FRENCH ARMY OF THE NORTH","DUMOURIEZ",40000,"FRENCH ARMY OF THE NORTH",40000,0,3000,37000,3000,0,0,0,100,0,0,,0,"FF",,,"EE",,,"PP",,,13,0,0,-33,6,TRUE,"FRENCH ARMY OF THE NORTH","France"
98,"FRENCH ARMY OF THE NORTH","DUMOURIEZ",45000,"FRENCH ARMY OF THE NORTH",45000,0,4000,41000,6000,0,0,0,45,0,0,30,0,"FF","EE",,,,,"RR","WD",,0,-9,0,-10,4,TRUE,"FRENCH ARMY OF THE NORTH","France"
99,"FRENCH ARMY OF THE NORTH","HOUCHARD",42000,"FRENCH ARMY OF THE NORTH",42000,0,3000,39000,5000,0,0,0,40,0,0,,0,"FF",,,"EE",,,"PP",,,0,-29,0,-33,6,TRUE,"FRENCH ARMY OF THE NORTH","France"
100,"FRENCH ARMY OF THE NORTH","JOURDAN",44000,"FRENCH ARMY OF THE NORTH",44000,0,4500,39500,,0,0,0,,0,0,,0,"FF","DE",,"PP",,,"PP",,,16,0,78,0,5,TRUE,"FRENCH ARMY OF THE NORTH","France"
101,"AUSTRIAN ARMY","SAXE-COBURG",46000,"AUSTRIAN ARMY",46000,0,4000,42000,14000,0,0,0,,0,0,,0,"FF",,,,,,"PP","RR","WD",13,0,20,-43,6,TRUE,"AUSTRIAN ARMY","Austria"
102,"FRENCH ARMY OF ITALY","BONAPARTE",17000,"FRENCH ARMY OF ITALY",6100,10900,900,16100,,0,0,0,24,0,0,0,0,"FF","PP","RC",,,,"PP",,,18,0,122,0,8,TRUE,"FRENCH ARMY OF ITALY","France"
103,"FRENCH ARMY OF ITALY","BONAPARTE",30000,"FRENCH ARMY OF ITALY",21000,9000,1500,28500,,0,0,0,60,0,0,8,0,"EE","LR",,"FE",,,"PP",,,16,0,0,-26,8,TRUE,"FRENCH ARMY OF ITALY","France"
104,"AUS ARMY","ARCHDUKE CHARLES",40000,"AUS ARMY",40000,0,3000,37000,,0,0,0,,0,0,,0,"FF","EE",,,,,"SS","WD",,20,0,0,-47,5,TRUE,"AUS ARMY","Austria"
105,"AUS ARMY","ARCHDUKE CHARLES",44000,"AUS ARMY",,,1500,42500,13000,0,0,0,,0,0,,0,"FF","EE",,,,,"PP",,,5,-5,5,-5,7,TRUE,"AUS ARMY","Austria"
106,"FR ARMY OF ITALY","BONAPARTE",17300,"FR ARMY OF ITALY",17300,0,4500,12800,,0,0,0,32,0,0,0,0,"FF","DD",,,,,"PP",,,4,0,3,0,8,TRUE,"FR ARMY OF ITALY","France"
107,"AUS ARMY","ALVINTZI",28000,"AUS ARMY",28000,0,14000,14000,,0,0,0,35,0,0,,0,"FF",,,"EE",,,"WD",,,0,-19,0,-26,3,TRUE,"AUS ARMY","Austria"
108,"FR ARMY","BONAPARTE",25000,"FR ARMY",25000,0,300,24700,,0,0,0,30,0,0,0,0,"DO",,,"FF",,,"BB","PS",,0,-20,0,-53,9,TRUE,"FR ARMY","France"
109,"FR ARMY","JOURDAN",38000,"FR ARMY",38000,0,4500,33500,5000,0,0,0,,0,0,,0,"FF","EE",,,,,"RR","WD",,5,-8,11,-19,5,TRUE,"FR ARMY","France"
110,"TURK ARMY","ABDALLAH PASHA",35000,"TURK ARMY",35000,0,6500,28500,25000,0,0,0,2,0,0,2,0,"FF",,,,,,"WL",,,0,-26,10,-10,1,TRUE,"TURK ARMY","Ottoman Empire"
111,"AUS ARMY","ARCHDUKE CHARLES",40000,"AUS ARMY",40000,0,3400,36600,9400,0,0,0,,0,0,,0,"FF",,,"EE",,,"RR",,,38,0,1,-6,4,TRUE,"AUS ARMY","Austria"
112,"ALLIED ARMY","SUVAROV",50000,"ALLIED ARMY",50000,0,9000,41000,9000,0,0,0,,0,0,,0,"FF",,,,,,"BB",,,30,0,0,-3,7,TRUE,"ALLIED ARMY","Russia"
113,"FR ARMY","MASSENA",35000,"FR ARMY",35000,0,4000,31000,3500,0,0,0,,0,0,,0,"RC","FF","EE",,,,"BB",,,0,-4,5,-5,8,TRUE,"FR ARMY","France"
114,"FR ARMY","MOREAU",60000,"FR ARMY",60000,0,4000,56000,10000,0,0,0,,0,0,,0,"FF","EE",,,,,"PP",,,0,-13,0,-25,5,TRUE,"FR ARMY","France"
115,"AUS ARMY","MELAS",31000,"AUS ARMY",31000,0,11000,20000,7600,0,0,0,100,0,0,40,0,"FF",,,,,,"WL",,,0,-13,27,0,2,TRUE,"AUS ARMY","Austria"
116,"AUS ARMY","ARCHDUKE JOHN",57000,"AUS ARMY",57000,0,20000,37000,12000,0,0,0,,0,0,90,0,"FF","EE",,,,,"RR","WL",,10,0,0,-23,3,TRUE,"AUS ARMY","Austria"
117,"ALLIED ARMY","KUTUZOV",85400,"ALLIED ARMY",85400,0,27500,57900,16000,0,0,0,278,0,0,180,0,"FF","EE","LF",,,,"RR","WL",,4,-3,0,-7,2,TRUE,"ALLIED ARMY","Russia"
118,"FR ARMY","NAPOLEON I",96000,"FR ARMY",46000,50000,4000,92000,12500,0,0,0,114,0,0,0,0,"FF","EE","RF",,,,"BB","PS",,4,-44,50,0,9,TRUE,"FR ARMY","France"
119,"PR ARMY","BRUNSWICK",63500,"PR ARMY",47900,15600,20000,43500,,0,0,0,230,0,0,,0,"FF","EE","RF",,,,"RR","WL",,0,-22,0,-35,2,TRUE,"PR ARMY","Prussia"
120,"FR ARMY","NAPOLEON I",78000,"FR ARMY",48900,29100,18500,59500,20000,0,0,0,210,0,0,,0,"FF","EE","RF",,,,"SS",,,0,-23,35,-19,6,TRUE,"FR ARMY","France"
