"isqno","wxno","wx1","wx2","wx3","wx4","wx5"
478,1,"W","L","C","F","T"
479,1,"W","L","C","F","T"
480,1,"D",,"T","W","T"
481,1,"D",,"T","F","T"
482,1,"W","L","C","F","T"
483,1,"W","H","C","W","T"
484,1,"W","L","C","W","T"
485,1,"W","L","C","W","T"
486,1,"D","S","T","S","T"
487,1,"W","H","H","W","E"
488,1,"D","S","T","S","T"
489,1,"D","S","C","F","T"
489,2,"W","L","C","F","T"
489,3,"W","H","C","F","T"
490,1,"D","S","C","W","T"
490,2,"W","L","C","W","T"
490,3,"W","H","C","W","T"
491,1,"D","S","T","S","T"
491,2,"W","L","T","S","T"
491,3,"W","H","T","S","T"
492,1,"W","L","C","W","T"
493,1,"D","S","T","S","T"
493,2,"W","L","T","S","T"
494,1,"W","L","T","S","T"
495,1,"D","S","T","S","T"
495,2,"W","L","T","S","T"
496,1,"D",,"T","S","T"
496,2,"W","L","T","S","T"
497,1,"D","S","T","S","T"
498,1,"D","S","T","S","T"
498,2,"W","L","T","S","T"
499,1,"D","S","T","S","T"
500,1,"D","S","T","F","T"
500,2,"D",,"T","F","T"
500,3,"W","L","T","F","T"
501,1,"W","H","C","W","T"
501,2,"W",,"C","W","T"
502,1,"W","L","C","W","T"
502,2,"W","H","C","W","T"
503,1,"D","S","T","$","T"
504,1,"D","S","T","S","T"
505,1,"D","S","T","S","T"
505,2,"W","L","T","S","T"
506,1,"D","S","T","S","T"
507,1,"D","S","T","S","T"
508,1,"D","S","T","S","T"
509,1,"D","S","T","S","T"
510,1,"D","S","T","S","T"
511,1,"D","S","C","W","T"
511,2,"W","L","C","W","T"
512,1,"W","L","C","W","T"
512,2,"W","H","C","W","T"
513,1,"W","L","C","W","T"
514,1,"W","L","C","W","T"
515,1,"D","S","T","$","T"
516,1,"W","L","T","S","T"
516,2,"W","H","T","S","T"
517,1,"D","S","T","F","T"
518,1,"D","S","T","W","T"
519,1,"D","S","T","W","T"
520,1,"D","S","T","$","T"
521,1,"D","S","T","$","T"
522,1,"D",,"T","$","T"
522,2,"W","L","T","$","T"
523,1,"W","H","T","$","T"
524,1,"D","S","T","$","T"
524,2,"D",,"T","$","T"
525,1,"W","L","T","$","T"
526,1,"D","S","T","$","T"
527,1,"D","S","T","$","T"
527,2,"W","H","T","$","T"
528,1,"D","S","T","$","T"
529,1,"D","S","T","$","T"
529,2,"W","L","T","$","T"
530,1,"W","H","T","$","T"
531,1,"W","L","T","$","T"
531,2,"W","H","T","$","T"
532,1,"W","H","T","$","T"
533,1,"W","H","T","$","T"
534,1,"D","S","T","S","T"
535,1,"D","S","T","S","T"
536,1,"D","S","T","S","T"
537,1,"D","S","T","S","T"
538,1,"D","S","T","$","T"
539,1,"D",,"T","$","T"
540,1,"W","H","T","$","T"
541,1,"D","S","T","$","T"
541,2,"D",,"T","$","T"
542,1,"W","H","T","$","T"
542,2,"D","S","T","$","T"
543,1,"D","S","T","$","T"
544,1,"D","S","T","$","T"
545,1,"W","L","T","$","T"
546,1,"D","S","T","S","T"
547,1,"D",,"T","S","T"
548,1,"D","S","T","S","T"
549,1,"D","S","H","S","T"
550,1,"D","S","H","S","T"
551,1,"D","S","H","S","T"
552,1,"D","S","H","S","T"
553,1,"D","S","H","S","T"
554,1,"D","S","H","S","T"
554,2,"D","S","H","S","D"
555,1,"D","S","H","S","T"
555,2,"D","S","H","S","D"
556,1,"D","S","H","S","T"
556,2,"D","S","H","S","D"
557,1,"D","S","H","S","T"
557,2,"D","S","H","S","D"
558,1,"D","S","H","S","T"
558,2,"D","S","H","S","D"
559,1,"D","S","H","S","T"
559,2,"D","S","H","S","D"
560,1,"D","S","H","S","T"
560,2,"D","S","H","S","D"
561,1,"D","S","H","S","T"
561,2,"D","S","H","S","D"
562,1,"D","S","H","S","T"
562,2,"D","S","H","S","D"
563,1,"D","S","H","S","T"
563,2,"D","S","H","S","D"
564,1,"D","S","H","S","T"
564,2,"D","S","H","S","D"
565,1,"D","S","H","S","T"
566,1,"D","S","H","S","T"
567,1,"D","S","H","S","T"
568,1,"D","S","T","$","T"
569,1,"D","S","H","F","T"
569,2,"D","S","H","F","D"
570,1,"D","S","H","F","T"
570,2,"D","S","H","F","D"
571,1,"D","S","H","F","T"
571,2,"D","S","H","F","D"
572,1,"D","S","H","F","T"
572,2,"D","S","H","F","D"
573,1,"D","S","H","F","T"
573,2,"D","S","H","F","D"
574,1,"D","S","H","F","T"
574,2,"D","S","H","F","D"
575,1,"D","S","H","F","T"
575,2,"D","S","H","F","D"
576,1,"D","S","H","F","T"
576,2,"D","S","H","F","D"
577,1,"D","S","H","F","T"
577,2,"D","S","H","F","D"
578,1,"D","S","H","F","T"
578,2,"D","S","H","F","D"
579,1,"D","S","H","F","T"
579,2,"D","S","H","F","D"
580,1,"D","S","H","F","T"
580,2,"D","S","H","F","D"
581,1,"D","S","H","F","T"
581,2,"D","S","H","F","D"
582,1,"D","S","H","F","T"
582,2,"D","S","H","F","D"
583,1,"D","S","H","F","T"
583,2,"D","S","H","F","D"
584,1,"D","S","H","F","T"
584,2,"D","S","H","F","D"
585,1,"D","S","H","F","T"
586,1,"D","S","H","F","T"
587,1,"D","S","H","F","T"
588,1,"D","S","H","F","T"
589,1,"D","S","T","F","T"
590,1,"D","S","H","F","T"
591,1,"D","S","H","F","T"
592,1,"D","S","H","F","T"
593,1,"D","S","H","F","T"
594,1,"D","S","H","F","T"
595,1,"D","S","H","F","T"
596,1,"D","S","H","F","T"
597,1,"D","S","H","F","T"
598,1,"D","S","H","F","T"
599,1,"D","S","H","F","T"
600,1,"D","S","H","F","T"
601,1,"D","S","H","F","T"
602,1,"D","S","C","W","D"
603,1,"D",,"C","W","D"
604,1,"W","H","C","W","D"
605,1,"W",,"C","W","T"
606,1,"W",,"C","W","T"
607,1,"W",,"C","W","T"
608,1,"W",,"C","W","T"
609,1,"D","S","T","W","T"
610,1,"D","S","T","W","T"
611,1,"D","S","T","W","T"
612,1,"D","S","T","S","T"
613,1,"D","S","T","S","T"
614,1,"W","L","T","F","T"
615,1,"W","L","T","F","T"
616,1,"W","L","T","F","T"
617,1,"W","L","C","W","T"
618,1,"W","L","C","W","T"
619,1,"W","L","C","W","T"
620,1,"D",,"C","W","T"
621,1,"D",,"C","W","T"
622,1,"D",,"C","W","T"
623,1,"D",,"C","W","T"
624,1,"D",,"C","W","T"
625,1,"D",,"C","W","T"
626,1,"W","L","T","F","T"
627,1,"D",,"T","F","T"
628,1,"D",,"T","F","T"
629,1,"D",,"T","F","T"
630,1,"D",,"T","W","T"
631,1,"D",,"T","$","T"
632,1,"W","L","T","$","T"
633,1,"W","L","T","$","T"
634,1,"W","L","T","$","T"
635,1,"W","H","T","S","T"
636,1,"W","L","T","S","T"
637,1,"W","L","T","$","T"
638,1,"D",,"H","S","D"
639,1,"D",,"H","S","D"
640,1,"D",,"H","F","D"
641,1,"D",,"H","S","D"
642,1,"D",,"H","S","D"
643,1,"D",,"H","S","D"
644,1,"D",,"T","$","T"
645,1,"D",,"H","S","D"
646,1,"D",,"T","$","D"
647,1,"D",,"H","S","D"
648,1,"D",,"T","W","D"
649,1,"D",,"T","W","D"
650,1,"D",,"H","F","D"
651,1,"D",,"H","F","D"
652,1,"D",,"H","F","D"
653,1,"D",,"H","F","D"
654,1,"D",,"T","$","E"
655,1,"D",,"T","$","D"
656,1,"D",,"H","S","D"
657,1,"W","L","T","$","T"
658,1,"W","L","T","$","T"
659,1,"D",,"T","$","T"
660,1,"W","L","T","S","T"
