"isqno","nam","co","wof1","wof2","wof3","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","attacker","surp","countries"
11,"SW ARMY","BANER",4.4,,,22000,,22000,0,7000,15000,12000,0,0,0,,0,0,,0,"EE","RF",,"FF",,,"BB","PS",,0,-26,0,-53,9,TRUE,,"Sweden"
12,"SW ARMY","TORTENSSON",3.5,,,25000,,25000,0,5000,20000,10000,0,0,0,70,0,0,0,0,"EE","LF",,"FF",,,"BB","PS",,0,-20,0,-20,9,TRUE,,"Sweden"
13,"FR ARMY","ENGHIEN",2.4,,,23000,,23000,0,4000,19000,7000,0,0,0,12,0,0,0,0,"EE","LF",,"FF",,,"BB","PS",,0,-13,0,-100,8,TRUE,,"France"
14,"IMP ARMY","MERCY",3,,,22000,,22000,0,1000,21000,5000,0,0,0,,0,0,,0,"FF",,,"EE",,,"BB","PS",,0,-9,0,-50,9,TRUE,,"Holy Roman Empire"
15,"FR ARMY","CONDE & TURENNE",6.4,,,19000,,19000,0,8000,11000,8000,0,0,0,37,0,0,0,0,"FF",,,"EE","LF",,"PP","PS",,5,0,0,-25,7,TRUE,,"France"
16,"IMP ARMY","HATZFELD",3.1,,,15000,,15000,0,8500,6500,10000,0,0,0,26,0,0,26,0,"FF",,,"EE","RR",,"RR","AA",,7,0,0,-6,4,TRUE,,"Holy Roman Empire"
17,"IMP ARMY","MERCY & WERTH",7,,,10000,,10000,0,700,9300,5000,0,0,0,,0,0,,0,"FF",,,,,,"BB","PS",,30,0,0,-57,9,TRUE,,"Holy Roman Empire"
18,"FR ARMY","CONDE",3.2,,,18000,,18000,0,7500,10500,5000,0,0,0,,0,0,4,0,"FF",,,"EE","RF",,"SS",,,56,-6,0,-33,7,TRUE,,"France"
19,"FR ARMY","CONDE",2,,,14000,,14000,0,4000,10000,5000,0,0,0,,0,0,0,0,"DE",,,,,,"BB","PS",,14,0,0,-63,9,TRUE,,"France"
20,"ENG ROY ARMY","CHARLES I",3.2,,,14300,,14300,0,2500,11800,3500,0,0,0,20,0,0,0,0,"FF",,,,,,"BB",,,3,-6,60,0,7,TRUE,,"Royalist"
21,"ENG PARL ARMY","MANCHESTER",2.8,,,27000,,27000,0,1500,25500,9000,0,0,0,25,0,0,0,0,"FF",,,,,,"BB","PS",,0,-26,10,-10,8,TRUE,,"Royalist"
22,"SCOT COV ARMY","ELCHO",1.1,,,6800,,6800,0,3000,3800,800,0,0,0,7,0,0,7,0,"FF",,,,,,"RR","WL",,9,-36,0,-33,3,TRUE,,"Parliamentarian"
23,"SCOT ROY ARMY","MONTROSE",0.7,,,4900,,4900,0,6,4894,500,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,0,-8,200,0,9,TRUE,,"Royalist"
24,"ENG PARL ARMY","MANCHESTER",2.8,,,22000,,22000,0,500,21500,9500,0,0,0,,0,0,,0,"FF",,,"EE","LF",,"PP","RR",,0,-14,50,0,5,TRUE,,"Parliamentarian"
25,"ENG ROY ARMY","CHARLES I",1.6,,,9000,,9000,0,6000,3000,5000,0,0,0,12,0,0,12,0,"FF",,,,,,"PP","RR","WL",13,0,17,0,4,TRUE,,"Royalist"
26,"ENG PARL ARMY","CROMWELL",1,,,9000,,9000,0,300,8700,3000,0,0,0,,0,0,0,0,"FF","DE",,,,,"BB","PS",,0,-6,100,0,9,TRUE,,"English Parliament"
27,"ENG PARL ARMY","CROMWELL",1.8,,,11000,,11000,0,30,10970,3500,0,0,0,,0,0,0,0,"EE","RF",,"FF",,,"BB","PS",,0,-5,200,-33,9,TRUE,,"English Parliament"
28,"ENG PARL ARMY","CROMWELL",5.6,,,28000,,28000,0,1000,27000,9000,0,0,0,,0,0,0,0,"FF",,,,,,"BB","PS",,7,0,0,-300,9,TRUE,,"English Parliament"
29,"FR ROY ARMY","TURENNE",1.5,,,12000,,12000,0,4000,8000,,0,0,0,,0,0,,0,"FF",,,,,,"PP",,,0,-10,0,-50,8,TRUE,,"France"
30,"FR ARMY","TURENNE",4,,,15000,,15000,0,2000,13000,6000,0,0,0,,0,0,0,0,"EE","RF",,"FF",,,"BB","PS",,0,-13,0,-50,8,TRUE,,"France"
31,"TURK ARMY","AHMED KOPRULU",3.8,,,60000,,60000,0,8000,52000,20000,0,0,0,20,0,0,20,0,"FF",,,,,,"RR","WD",,0,-17,20,0,4,TRUE,,"Ottoman Empire"
32,"IMP ALLIED ARMY","LORRAINE & SOBIESKI",8.8,,,76000,,76000,0,2000,74000,34000,0,0,0,186,0,0,0,0,"EE","RF",,"FF",,,"BB","PS",,5,-5,0,-60,9,TRUE,,"Holy Roman Empire"
33,"POL ARMY","SOBIESKI",,,,50000,,50000,0,1000,49000,,0,0,0,,0,0,,0,"FF",,,"EE","LR",,"BB","PS",,0,-20,100,0,8,TRUE,,"Poland"
34,"FR ARMY","TURENNE",5,,,9500,,9500,0,1500,8000,6000,0,0,0,6,0,0,0,0,"FF",,,"DE",,,"PP",,,0,-11,0,-27,9,TRUE,,"France"
35,"FR ARMY","CONDE",1.8,,,50000,,50000,0,10000,40000,15000,0,0,0,,0,0,,0,"FF",,,,,,"PP","WD",,0,-10,0,-30,8,TRUE,,"France"
36,"FR ARMY","TURENNE",5.6,,,22000,,22000,0,3500,18500,10000,0,0,0,30,0,0,0,0,"FF",,,,,,"PP","WD",,5,-5,0,-29,6,TRUE,,"France"
37,"FR ARMY","TURENNE",,,,33000,,33000,0,1100,31900,,0,0,0,,0,0,,0,"EE","RF",,"FF",,,"PP",,,0,-9,9,0,9,TRUE,,"France"
38,"PR ARMY","FREDERICK WILLIAM",3.4,,,6000,,6000,0,500,5500,6000,0,0,0,13,0,0,0,0,"FF",,,"EE","RF",,"BB","PS",,0,-7,10,-10,9,TRUE,,"Prussia"
39,"ENG REB ARMY","MONMOUTH",0.8,,,4000,,4000,0,1500,2500,800,0,0,0,4,0,0,4,0,"FF",,,,,,"RR","WL",,0,-8,0,-13,2,TRUE,,"English Rebels"
40,"SCOTS REB ARMY","DUNDEE",1,,,2800,,2800,0,600,2200,,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,114,0,0,-33,8,TRUE,,"Jacobites"
41,"FR ARMY","D'HUMIERES",1,3.2,,24000,,24000,0,2000,22000,,0,0,0,20,0,0,6,0,"FF",,,,,,"PP","WD",,0,-8,0,-70,4,TRUE,,"France"
42,"FR ARMY","LUXEMBOURG",,,,50000,,50000,0,6000,44000,,0,0,0,,0,0,,0,"DE",,,,,,"BB","PS",,0,-20,20,-10,9,TRUE,,"France"
43,"ENG ARMY","WILLIAM III",8,,,35000,,35000,0,2000,33000,8000,0,0,0,50,0,0,0,0,"FF","EE","LR",,,,"PP",,,3,0,100,0,9,TRUE,,"England"
44,"ENG ARMY","GINCKEL",6.4,,,18000,,18000,0,2700,15300,,0,0,0,,0,0,,0,"FF",,,,,,"BB","PS",,0,-5,11,-19,9,TRUE,,"England"
45,"ALLIED ARMY","WILLIAM III",2.4,,,63000,,63000,0,8000,55000,15000,0,0,0,70,0,0,10,0,"FF",,,,,,"PP","RR","WD",11,0,7,0,3,TRUE,,"England"
46,"FR ARMY","LUXEMBOURG",5.7,,,80000,,80000,0,9000,71000,29000,0,0,0,71,0,0,,0,"FF",,,,,,"BB","PS",,0,-5,0,-11,8,TRUE,,"France"
47,"FR ARMY","CATINAT",,,,40000,,40000,0,3000,37000,10000,0,0,0,30,0,0,,0,"FF","EE","LF",,,,"BB","PS",,0,-5,0,-33,9,TRUE,,"France"
48,"AUS ARMY","EUGENE",4.2,,,50000,,50000,0,500,49500,16000,0,0,0,60,0,0,0,0,"FF",,,,,,"BB","PS",,0,-10,0,-5,9,TRUE,,"Holy Roman Empire"
49,"SW ARMY","CHARLES XII",1.2,1.8,,21500,,21500,0,9600,11900,8500,0,0,0,4,0,0,4,0,"FF",,,,,,"PP","RR","WL",21,-7,25,0,4,TRUE,,"Sweden"
50,"ALLIED ARMY","MARLBOROUGH & EUGENE",6.4,,,52000,,52000,0,12883,39117,20000,0,0,0,60,0,0,,0,"FF",,,,,,"BB","PS",,12,-4,1,-15,9,TRUE,,"England|Holy Roman Empire"
51,"ALLIED ARMY","MARLBOROUGH",4.8,,,62000,,62000,0,3620,58380,16000,0,0,0,120,0,0,,0,"EE","RF",,,,,"BB","PS",,0,-3,38,0,9,TRUE,,"England"
52,"ALLIED ARMY","MARLBOROUGH & EUGENE",6.4,,,80000,,80000,0,4000,76000,21000,0,0,0,32,0,0,,0,"FF",,,"DE",,,"BB","PS",,13,0,50,-24,9,TRUE,,"England|Holy Roman Empire"
53,"ALLIED ARMY","MARLBOROUGH & EUGENE",8.2,,,110000,,110000,0,24000,86000,25000,0,0,0,100,0,0,,0,"FF",,,"EE","LF",,"PP",,,0,-17,4,-15,8,TRUE,,"England|Holy Roman Empire"
54,"AUS ARMY","EUGENE",,,,63000,,63000,0,4500,58500,22000,0,0,0,,0,0,0,0,"FF",,,,,,"PP","BB","PS",0,-5,0,-33,9,TRUE,,"Habsburg Empire"
55,"AUS ARMY","NEIPPERG",2.7,,,18100,,18100,0,4551,13549,9000,0,0,0,19,0,0,7,0,"FF",,,,,,"RR","WD",,0,-13,0,-1,4,TRUE,,"Habsburg Empire"
56,"AUS ARMY","LORRAINE",3.4,,,29000,,29000,0,6332,22668,10000,0,0,0,40,0,0,16,0,"FF",,,,,,"RR","WD",,0,-3,0,-1,5,TRUE,,"Habsburg Empire"
57,"BR & HAN ARMY","GEORGE II",2.3,,,35000,,35000,0,2500,32500,8000,0,0,0,98,0,0,1,0,"FF",,,,,,"PP","PS",,6,0,0,-4,6,TRUE,,"Great Britain|Hanover"
58,"BR ALLIED ARMY","CUMBERLAND",2.8,,,50000,,50000,0,12000,38000,10000,0,0,0,101,0,0,32,0,"FF",,,"FE",,,"RR","WD",,6,0,0,-42,4,TRUE,,"Great Britain"
59,"PR ARMY","FREDERICK II",4.8,5.9,,50000,,50000,0,4737,45263,19900,0,0,0,192,0,0,,0,"FF",,,,,,"BB","PS",,40,0,1,0,9,TRUE,,"Prussia"
60,"PR ARMY","FREDERICK II",3.5,,,22562,,22562,0,3876,18686,5852,0,0,0,60,0,0,,0,"FF",,,"EE","LR",,"PP","PS",,0,-3,3,0,9,TRUE,,"Prussia"
61,"PR ARMY","ANHALT-DESSAU",4.4,,,31000,,31000,0,5000,26000,9000,0,0,0,33,0,0,0,0,"FF",,,"EE","LR",,"BB","PS",,13,0,2,0,9,TRUE,,"Prussia"
62,"SCOT REB ARMY","PRINCE CHARLES EDWARD",0.6,,,2400,,2400,0,110,2290,40,0,0,0,2,0,0,0,0,"FF",,,,,,"BB","PS",,4,0,5,0,9,TRUE,,"Jacobites"
63,"SCOT REB ARMY","PRINCE CHARLES EDWARD",0.7,,,5400,,5400,0,1558,3842,400,0,0,0,12,0,0,12,0,"FF",,,,,,"PP","RR","WL",11,-7,0,-19,3,TRUE,,"Jacobites"
64,"PR ARMY","FREDERICK II",3.2,,,29000,,29000,0,2906,26094,10800,0,0,0,97,0,0,,0,"FF",,,,,,"PP",,,3,0,17,0,8,TRUE,,"Prussia"
65,"PR ARMY","FREDERICK II",4.8,,,65000,,65000,0,14300,50700,17000,0,0,0,214,0,0,5,0,"FF",,,"EE","RF",,"BB","PS",,0,-2,1,0,9,TRUE,,"Prussia"
66,"BENGALI ARMY","SIRAJ UD-DAULA",3.2,,,50050,,50050,0,500,49550,15000,0,0,0,53,0,0,53,0,"FF",,,,,,"RR","WD",,6,0,20,0,2,TRUE,,"Bengal"
67,"PR ARMY","FREDERICK II",5.2,,,32000,,32000,0,13768,18232,14000,0,0,0,88,0,0,45,0,"FF",,,"EE","RF",,"RR","WD",,3,0,2,0,5,TRUE,,"Prussia"
68,"FR ARMY","ESTREES",5.5,,,60000,,60000,0,2500,57500,10000,0,0,0,68,0,0,11,0,"FF","EE","RR",,,,"PP","WD",,5,-5,0,-7,5,TRUE,,"France"
69,"FR & GER ARMY","SOUBISE & SAXE-HILDBURGHAUSEN",2.7,,,42000,,42000,0,10150,31850,10000,0,0,0,115,0,0,72,0,"EE","LF",,,,,"RR","WL",,0,-2,0,-17,3,TRUE,,"France|Austria"
70,"PR ARMY","FREDERICK II",4.3,,,33000,,33000,0,11589,21411,11000,0,0,0,167,0,0,,0,"EE","LF",,"FE",,,"BB","PS",,6,0,0,-47,10,TRUE,,"Prussia"
71,"PR ALLIED ARMY","FERDINAND",10.5,,,32000,,32000,0,1800,30200,,0,0,0,,0,0,,0,"EE","LR",,,,,"BB",,,3,0,0,-14,8,TRUE,,"Hanover|Prussia"
72,"PR ARMY","FREDERICK II",3.4,,,36000,,36000,0,12797,23203,10500,0,0,0,193,0,0,26,0,"FF",,,,,,"PP","WD",,0,-8,0,-2,7,TRUE,,"Prussia"
73,"AUS ARMY","DAUN",5.6,,,80000,,80000,0,7587,72413,28000,0,0,0,340,0,0,10,0,"FF","DE",,,,,"BB","PS",,0,-19,2,0,9,TRUE,,"Austria"
74,"PR & ALLIED ARMY","BRUNSWICK",3.2,,,24000,,24000,0,2800,21200,,0,0,0,21,0,0,2,0,"FF",,,,,,"PP","WD",,13,0,0,-40,3,TRUE,,"Hanover|Prussia"
75,"PR & ALLIED ARMY","BRUNSWICK",4,,,45000,,45000,0,2762,42238,,0,0,0,187,0,0,0,0,"FF",,,,,,"PP","PS",,0,-16,5,0,9,TRUE,,"Hanover|Prussia"
76,"PR ARMY","FREDERICK II",5.4,,,50900,,50900,0,19100,31800,13000,0,0,0,240,0,0,172,0,"FF",,,"FE","LR",,,,,0,-6,8,0,3,TRUE,,"Prussia"
77,"FR ARMY","MONTCALM",1,,,4500,,4500,0,1500,3000,0,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,11,-11,0,-20,3,TRUE,,"France"
78,"AUS ARMY","DAUN",,,,38000,,38000,0,1000,37000,,0,0,0,,0,0,0,0,"DE",,,,,,,,,11,0,0,-70,8,TRUE,,"Austria"
79,"PR & ALLIED ARMY","BRUNSWICK",5,,,19000,,19000,0,1300,17700,5700,0,0,0,,0,0,,0,"EE","LF",,"FE",,,"PP","PS",,26,0,0,-5,9,TRUE,,"Hanover|Prussia"
80,"AUS & RUSS ARMY","DAUN & LAUDON",2.4,,,30000,,30000,0,6000,24000,9000,0,0,0,130,0,0,74,0,"EE","LF",,,,,"PP",,,0,-20,42,0,2,TRUE,,"Austria"
81,"PR ARMY","FREDERICK II",8,,,50000,,50000,0,16670,33330,12000,0,0,0,,0,0,,0,"EE","RR",,"FF","EE","RF","PP",,,14,0,19,0,8,TRUE,,"Prussia"
82,"BR ARMY","GAGE",0.5,,,2650,,2650,0,1054,1596,0,0,0,0,,0,0,,0,"FF",,,,,,"BB",,,0,-9,9,0,7,TRUE,,"Great Britain"
83,"AM ARMY","MONTGOMERY",0.2,,,1100,,1100,0,486,614,,0,0,0,1,0,0,1,0,"FF",,,,,,"RR","WD",,0,-27,13,-2,4,TRUE,,"USA"
84,"BR ARMY","HOWE",2.4,,,13000,,13000,0,313,12687,,0,0,0,12,0,0,0,0,"FF",,,,,,,,,0,-10,0,-23,7,TRUE,,"Great Britain"
85,"AM ARMY","WASHINGTON",1.3,,,2420,,2420,0,12,2408,20,0,0,0,18,0,0,0,0,"FF",,,"DE",,,"BB","PS",,5,-5,0,-50,9,TRUE,,"USA"
86,"AM ARMY","WASHINGTON",0.6,,,4800,,1250,3550,44,4756,,0,0,0,5,0,0,0,0,"FF",,,"EE","LF",,"BB",,,0,-6,9,0,8,TRUE,,"USA"
87,"BR ARMY","BURGOYNE",1.5,,,4400,,3300,1100,556,3844,,0,0,0,10,0,0,0,0,"FF",,,,,,"SS","WD",,0,-14,8,0,5,TRUE,,"Great Britain"
88,"AM ARMY","WASHINGTON",4,,,11200,,11200,0,1090,10110,,0,0,0,,0,0,0,0,"FF",,,"DE",,,"RR","WD",,0,-2,0,-2,4,TRUE,,"USA"
89,"BR ARMY","BURGOYNE",0.6,,,5000,,5000,0,600,4400,0,0,0,0,10,0,0,0,0,"FF",,,,,,"RR","WD",,0,-20,10,-10,4,TRUE,,"Great Britain"
90,"BR ARMY","CLINTON",1,,,13000,,2000,11000,358,12642,,0,0,0,16,0,0,0,0,"FF",,,,,,"RR","WD",,10,-10,5,-5,6,TRUE,,"Great Britain"
91,"BR ARMY","CORNWALLIS",1.6,,,2100,,2100,0,324,1776,0,0,0,0,4,0,0,0,0,"FF",,,,,,"BB","PS",,7,0,5,-5,7,TRUE,,"Great Britain"
92,"BR ARMY","TARLETON",0.2,,,1100,,1100,0,929,171,350,0,0,0,2,0,0,2,0,"FF",,,,,,"RR","AA",,0,-10,0,-13,2,TRUE,,"Great Britain"
93,"BR ARMY","CORNWALLIS",2,,,1900,,1900,0,532,1368,155,0,0,0,2,0,0,0,0,"FF",,,,,,"PP",,,0,-16,22,0,6,TRUE,,"Great Britain"
94,"BR ARMY","RAWDON",0.6,,,900,,900,0,258,642,60,0,0,0,0,0,0,,0,"FF",,,,,,"PP",,,5,-5,5,-5,9,TRUE,,"Great Britain"
95,"AM ARMY","GREENE",0.4,,,2200,,2200,0,554,1646,0,0,0,0,4,0,0,4,0,"FF",,,,,,"RR","WD",,11,0,0,-6,4,TRUE,,"USA"
96,"ALLIED ARMY","BRUNSWICK",7,,,34000,,34000,0,350,33650,,0,0,0,58,0,0,,0,"FF",,,,,,"SS","WD",,3,0,0,-49,3,TRUE,,"Prussia"
97,"FRENCH ARMY OF THE NORTH","DUMOURIEZ",5,,,40000,,40000,0,3000,37000,3000,0,0,0,100,0,0,,0,"FF",,,"EE",,,"PP",,,13,0,0,-33,6,TRUE,,"France"
98,"FRENCH ARMY OF THE NORTH","DUMOURIEZ",13,,,45000,,45000,0,4000,41000,6000,0,0,0,45,0,0,30,0,"FF","EE",,,,,"RR","WD",,0,-9,0,-10,4,TRUE,,"France"
99,"FRENCH ARMY OF THE NORTH","HOUCHARD",8,,,42000,,42000,0,3000,39000,5000,0,0,0,40,0,0,,0,"FF",,,"EE",,,"PP",,,0,-29,0,-33,6,TRUE,,"France"
100,"FRENCH ARMY OF THE NORTH","JOURDAN",16,,,44000,,44000,0,4500,39500,,0,0,0,,0,0,,0,"FF","DE",,"PP",,,"PP",,,16,0,78,0,5,TRUE,,"France"
101,"AUSTRIAN ARMY","SAXE-COBURG",16,,,46000,,46000,0,4000,42000,14000,0,0,0,,0,0,,0,"FF",,,,,,"PP","RR","WD",13,0,20,-43,6,TRUE,,"Austria"
102,"FRENCH ARMY OF ITALY","BONAPARTE",1.6,,,17000,,6100,10900,900,16100,,0,0,0,24,0,0,0,0,"FF","PP","RC",,,,"PP",,,18,0,122,0,8,TRUE,,"France"
103,"FRENCH ARMY OF ITALY","BONAPARTE",2.4,8,,30000,,21000,9000,1500,28500,,0,0,0,60,0,0,8,0,"EE","LR",,"FE",,,"PP",,,16,0,0,-26,8,TRUE,,"France"
104,"AUS ARMY","ARCHDUKE CHARLES",40,,,40000,,40000,0,3000,37000,,0,0,0,,0,0,,0,"FF","EE",,,,,"SS","WD",,20,0,0,-47,5,TRUE,,"Austria"
105,"AUS ARMY","ARCHDUKE CHARLES",20,,,44000,,,,1500,42500,13000,0,0,0,,0,0,,0,"FF","EE",,,,,"PP",,,5,-5,5,-5,7,TRUE,,"Austria"
106,"FR ARMY OF ITALY","BONAPARTE",5,,,17300,,17300,0,4500,12800,,0,0,0,32,0,0,0,0,"FF","DD",,,,,"PP",,,4,0,3,0,8,TRUE,,"France"
107,"AUS ARMY","ALVINTZI",6,4.8,,28000,,28000,0,14000,14000,,0,0,0,35,0,0,,0,"FF",,,"EE",,,"WD",,,0,-19,0,-26,3,TRUE,,"Austria"
108,"FR ARMY","BONAPARTE",5,,,25000,,25000,0,300,24700,,0,0,0,30,0,0,0,0,"DO",,,"FF",,,"BB","PS",,0,-20,0,-53,9,TRUE,,"France"
109,"FR ARMY","JOURDAN",17,7,,38000,,38000,0,4500,33500,5000,0,0,0,,0,0,,0,"FF","EE",,,,,"RR","WD",,5,-8,11,-19,5,TRUE,,"France"
110,"TURK ARMY","ABDALLAH PASHA",15,,,35000,,35000,0,6500,28500,25000,0,0,0,2,0,0,2,0,"FF",,,,,,"WL",,,0,-26,10,-10,1,TRUE,,"Ottoman Empire"
111,"AUS ARMY","ARCHDUKE CHARLES",8,,,40000,,40000,0,3400,36600,9400,0,0,0,,0,0,,0,"FF",,,"EE",,,"RR",,,38,0,1,-6,4,TRUE,,"Austria"
112,"ALLIED ARMY","SUVAROV",13,,,50000,,50000,0,9000,41000,9000,0,0,0,,0,0,,0,"FF",,,,,,"BB",,,30,0,0,-3,7,TRUE,,"Russia"
113,"FR ARMY","MASSENA",14,,,35000,,35000,0,4000,31000,3500,0,0,0,,0,0,,0,"RC","FF","EE",,,,"BB",,,0,-4,5,-5,8,TRUE,,"France"
114,"FR ARMY","MOREAU",16,,,60000,,60000,0,4000,56000,10000,0,0,0,,0,0,,0,"FF","EE",,,,,"PP",,,0,-13,0,-25,5,TRUE,,"France"
115,"AUS ARMY","MELAS",4,,,31000,,31000,0,11000,20000,7600,0,0,0,100,0,0,40,0,"FF",,,,,,"WL",,,0,-13,27,0,2,TRUE,,"Austria"
116,"AUS ARMY","ARCHDUKE JOHN",18,,,57000,,57000,0,20000,37000,12000,0,0,0,,0,0,90,0,"FF","EE",,,,,"RR","WL",,10,0,0,-23,3,TRUE,,"Austria"
117,"ALLIED ARMY","KUTUZOV",13,,,85400,,85400,0,27500,57900,16000,0,0,0,278,0,0,180,0,"FF","EE","LF",,,,"RR","WL",,4,-3,0,-7,2,TRUE,,"Russia"
118,"FR ARMY","NAPOLEON I",9,,,96000,,46000,50000,4000,92000,12500,0,0,0,114,0,0,0,0,"FF","EE","RF",,,,"BB","PS",,4,-44,50,0,9,TRUE,,"France"
119,"PR ARMY","BRUNSWICK",6,,,63500,,47900,15600,20000,43500,,0,0,0,230,0,0,,0,"FF","EE","RF",,,,"RR","WL",,0,-22,0,-35,2,TRUE,,"Prussia"
120,"FR ARMY","NAPOLEON I",8,,,78000,,48900,29100,18500,59500,20000,0,0,0,210,0,0,,0,"FF","EE","RF",,,,"SS",,,0,-23,35,-19,6,TRUE,,"France"
121,"FR ARMY","NAPOLEON I",11,,,80000,,17000,63000,8000,72000,,0,0,0,110,0,0,0,0,"FF","EE","RF",,,,"BB","PS",,9,0,51,0,9,TRUE,,"France"
122,"FR ARMY","JUNOT",3.2,,,13050,,13050,0,1800,11250,1950,0,0,0,23,0,0,14,0,"FF","EE","LF",,,,"RR","WD",,7,-1,39,0,4,TRUE,,"France"
123,"FR ARMY","SOULT",5,,,20600,,20600,0,1600,19000,4500,0,0,0,40,0,0,,0,"FF",,,,,,"RR",,,2,-26,88,-44,4,TRUE,,"France"
124,"AUS ARMY","ARCHDUKE CHARLES",18,,,74000,,74000,0,12000,62000,8000,0,0,0,,0,0,12,0,"FF",,,,,,"RR","WD",,0,-53,42,-50,4,TRUE,,"Austria"
125,"AUS ARMY","ARCHDUKE CHARLES",7.5,,,99000,,99000,0,23000,76000,14500,0,0,0,264,0,0,6,0,"FF","DE",,,,,"SS",,,0,-24,2,0,7,TRUE,,"Austria"
126,"FR ARMY","EUGENE",11.5,,,35000,,35000,0,4000,31000,6000,0,0,0,,0,0,,0,"FF","EE","LF",,,,"BB",,,0,-31,0,-25,8,TRUE,,"France"
127,"FR ARMY","NAPOLEON I",24,,,140000,,,,34000,106000,30000,0,0,0,554,0,0,,0,"EE","LF",,"FF",,,"PP",,,35,0,9,-12,7,TRUE,,"France"
128,"FR ARMY","JOSEPH BONAPARTE",4.8,,,46000,,46000,0,7300,38700,8500,0,0,0,80,0,0,7,0,"FF","EE","LF",,,,"RR","WD",,22,-35,20,0,5,TRUE,,"France"
129,"FR ARMY OF PORTUGAL","MASSENA",12,,,65900,,65900,0,4500,61400,8400,0,0,0,114,0,0,,0,"FF",,,,,,"RR","SS",,1,-12,2,-1,4,TRUE,,"France"
130,"FR ARMY","MASSENA",6.4,,,48260,,48260,0,2700,45560,4660,0,0,0,38,0,0,,0,"FF","EE","RF",,,,"RR","SS",,0,-38,11,-19,5,TRUE,,"France"
131,"FR ARMY","SOULT",4.8,2.8,,23000,,23000,0,8000,15000,4000,0,0,0,,0,0,,0,"EE","RF",,"FF",,,"PP","RR","WD",5,-22,5,-5,6,TRUE,,"France"
132,"BR ALLIED ARMY","WELLINGTON",6.4,,,46000,,46000,0,6000,40000,6000,0,0,0,60,0,0,0,0,"FF",,,,,,"BB","PS",,6,-13,0,-13,7,TRUE,,"Great Britain"
133,"BR ALLIED ARMY","WELLINGTON",11,,,79062,,79062,0,5148,73914,8317,0,0,0,90,0,0,0,0,"FF","DE",,,,,"BB","PS",,14,-11,17,-3,8,TRUE,,"Great Britain"
134,"FR ARMY","NAPOLEON I",6,,,120000,,120000,0,28000,92000,28000,0,0,0,587,0,0,13,0,"FF",,,"EE","LF",,"PP",,,11,-5,14,0,7,TRUE,,"France"
