dbpedia,isqno,origwar,war,theater,name,NAMA,belligerenta,sidea,COA,uri_coa,NAMD,belligerentd,COD,uri_cod
Battle_of_Nördlingen_(1645),18,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,ALLERHEIM (NORDLINGEN II),FR ARMY,France,A,CONDE,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9",IMP ARMY,Holy Roman Empire,MERCY AND WERTH,http://en.wikipedia.org/wiki/Franz_von_Mercy
Battle_of_Lens,19,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,LENS,FR ARMY,France,A,CONDE,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9",IMP ARMY,Holy Roman Empire,LEOPOLD WILLIAM,http://en.wikipedia.org/wiki/Archduke_Leopold_Wilhelm_of_Austria
Battle_of_Edgehill,20,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,EDGEHILL,ENG ROY ARMY,Royalist,A,CHARLES I,http://en.wikipedia.org/wiki/Charles_I_of_England,ENG PARL ARMY,Parliamentarian,ESSEX,"http://en.wikipedia.org/wiki/Robert_Devereux,_3rd_Earl_of_Essex"
Battle_of_Marston_Moor,21,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,MARSTON MOOR,ENG PARL ARMY,Royalist,A,MANCHESTER,"http://en.wikipedia.org/wiki/Edward_Montagu,_2nd_Earl_of_Manchester",ENG ROY ARMY,Royalist,RUPERT,http://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine
Battle_of_Tippermuir,22,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,TIPPERMUIR,SCOT COV ARMY,Parliamentarian,B,ELCHO,http://en.wikipedia.org/wiki/Earl_of_Wemyss,SCOT ROY ARMY,Royalist,MONTROSE,"http://en.wikipedia.org/wiki/James_Graham,_1st_Marquess_of_Montrose"
Battle_of_Kilsyth,23,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,KILSYTH,SCOT ROY ARMY,Royalist,A,MONTROSE,"http://en.wikipedia.org/wiki/James_Graham,_1st_Marquess_of_Montrose",SCOT COV ARMY,Parliamentarian,BAILLIE,
Second_Battle_of_Newbury,24,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,NEWBURY II,ENG PARL ARMY,Parliamentarian,B,MANCHESTER,"http://en.wikipedia.org/wiki/Edward_Montagu,_2nd_Earl_of_Manchester",ENG ROY ARMY,Royalist,CHARLES I,http://en.wikipedia.org/wiki/Charles_I_of_England
Battle_of_Naseby,25,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,NASEBY,ENG ROY ARMY,Royalist,A,CHARLES I,http://en.wikipedia.org/wiki/Charles_I_of_England,ENG PARL ARMY,Parliamentarian,FAIRFAX,"http://en.wikipedia.org/wiki/Thomas_Fairfax,_3rd_Lord_Fairfax_of_Cameron"
Battle_of_Preston_(1648),26,SECOND ENGLISH CIVIL WAR,Second English Civil War of 1648-1649,,PRESTON,ENG PARL ARMY,English Parliament,B,CROMWELL,http://en.wikipedia.org/wiki/Oliver_Cromwell,SCOT ROY ARMY,Scottish Royalist,HAMILTON,"http://en.wikipedia.org/wiki/James_Hamilton,_3rd_Marquess_and_1st_Duke_of_Hamilton"
Battle_of_Dunbar_(1650),27,SECOND ENGLISH CIVIL WAR,Second English Civil War of 1648-1649,,DUNBAR,ENG PARL ARMY,English Parliament,B,CROMWELL,http://en.wikipedia.org/wiki/Oliver_Cromwell,SCOT ROY ARMY,Scottish Royalist,LESLIE,http://en.wikipedia.org/wiki/David_Leslie_(Scottish_general)
Battle_of_Worcester,28,SECOND ENGLISH CIVIL WAR,Second English Civil War of 1648-1649,,WORCESTER,ENG PARL ARMY,English Parliament,B,CROMWELL,http://en.wikipedia.org/wiki/Oliver_Cromwell,SCOT ROY ARMY,Scottish Royalist,CHARLES II,http://en.wikipedia.org/wiki/Charles_II_of_England
Battle_of_the_Faubourg_St_Antoine,29,THE FRONDE,The Fronde of 1648-1653,,ST. ANTOINE,FR ROY ARMY,France,B,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne",FR REB ARMY,Conde Rebels,CONDE,"http://en.wikipedia.org/wiki/Louis,_Grand_Cond%C3%A9"
Battle_of_the_Dunes_(1658),30,FRANCO-SPANISH WAR,Franco–Spanish War of 1635–1659,,THE DUNES,FR ARMY,France,A,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne",SP ARMY,Spain,DON JUAN,http://en.wikipedia.org/wiki/Juan_Jos%C3%A9_de_Austria
Battle_of_Saint_Gotthard_(1664),31,AUSTRO-TURKISH WAR,Austro-Turkish_War of 1663–1664,,THE RAAB,TURK ARMY,Ottoman Empire,A,AHMED KOPRULU,http://en.wikipedia.org/wiki/Ahmed_K%C3%B6pr%C3%BCl%C3%BC,IMP ALLIED ARMY,Holy Roman Empire,MONTECUCCOLI,http://en.wikipedia.org/wiki/Raimondo_Montecuccoli
Battle_of_Vienna,32,AUSTRO-TURKISH WAR,Great Turkish War of 1683-1699,,VIENNA,IMP ALLIED ARMY,Holy Roman Empire,B,LORRAINE & SOBIESKI,"http://en.wikipedia.org/wiki/Jan_III_Sobieski http://en.wikipedia.org/wiki/Charles_V,_Duke_of_Lorraine",TURK ARMY,Ottoman Empire,KARA MUSTAFA,http://en.wikipedia.org/wiki/Kara_Mustafa_Pasha
Battle_of_Khotyn_(1673),33,POLISH-TURKISH WAR,Polish-Ottoman War of 1672-1676,,CHOCIM II,POL ARMY,Poland,B,SOBIESKI,http://en.wikipedia.org/wiki/John_III_Sobieski,TURK ARMY,Ottoman Empire,HUSSEIN PASHA,?
Battle_of_Sinsheim,34,DUTCH WAR,Franco-Dutch War of 1672-1678,,SINSHEIM,FR ARMY,France,A,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne",IMP ALLIED ARMY,Holy Roman Empire,CAPARA,http://en.wikipedia.org/wiki/Aeneas_de_Caprara
Battle_of_Seneffe,35,DUTCH WAR,Franco-Dutch War of 1672-1678,,SENEF,FR ARMY,France,A,CONDE,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9",DU ALLIED ARMY,Dutch Republic,ORANGE,http://en.wikipedia.org/wiki/William_III_of_England
Battle_of_Enzheim,36,DUTCH WAR,Franco-Dutch War of 1672-1678,,ENZHEIM,FR ARMY,France,A,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne",IMP ALLIED ARMY,Holy Roman Empire,BOURNONVILLE,http://en.wikipedia.org/wiki/Alexander_von_Bournonville
Battle_of_Turckheim,37,DUTCH WAR,Franco-Dutch War of 1672-1678,,TURCKHEIM,FR ARMY,France,A,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne",IMP ALLIED ARMY,Holy Roman Empire,BOURNONVILLE,http://en.wikipedia.org/wiki/Alexander_von_Bournonville
Battle_of_Fehrbellin,38,DUTCH WAR,Franco-Dutch War of 1672-1678,,FEHRBELLIN,PR ARMY,Prussia,B,FREDERICK WILLIAM,"http://en.wikipedia.org/wiki/Frederick_William,_Elector_of_Brandenburg",SW ARMY,Sweden,WRANGEL,?
Battle_of_Sedgemoor,39,MONMOUTH'S REBELLION,Monmouth Rebellion of 1685,,SEDGEMOOR,ENG REB ARMY,English Rebels,A,MONMOUTH,"http://en.wikipedia.org/wiki/James_Scott,_1st_Duke_of_Monmouth",ENG ARMY,England,FEVERSHAM,"http://en.wikipedia.org/wiki/Louis_de_Duras,_2nd_Earl_of_Feversham"
Battle_of_Killiecrankie,40,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,KILLIECRANKIE,SCOTS REB ARMY,Jacobites,A,DUNDEE,"http://en.wikipedia.org/wiki/John_Graham,_1st_Viscount_of_Dundee",ENG ARMY,England,MACKAY,http://en.wikipedia.org/wiki/Hugh_Mackay
Battle_of_Walcourt,41,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,WALCOURT,FR ARMY,France,A,D'HUMIERES,"http://en.wikipedia.org/wiki/Louis_de_Crevant,_Duke_of_Humi%C3%A8res",ALLIED ARMY,Dutch Republic,WALDECK,http://en.wikipedia.org/wiki/Prince_Georg_Friedrich_of_Waldeck
Battle_of_Fleurus_(1690),42,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,FLEURUS,FR ARMY,France,A,LUXEMBOURG,"http://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency,_duc_de_Luxembourg",ALLIED ARMY,Dutch Republic,WALDECK,http://en.wikipedia.org/wiki/Prince_Georg_Friedrich_of_Waldeck
Battle_of_the_Boyne,43,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,THE BOYNE,ENG ARMY,England,B,WILLIAM III,http://en.wikipedia.org/wiki/William_III_of_England,ENG & IRISH REB ARMY,Jacobites,JAMES II,http://en.wikipedia.org/wiki/James_II_of_England
Battle_of_Aughrim,44,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,AUGHRIM,ENG ARMY,England,B,GINCKEL,"http://en.wikipedia.org/wiki/Godert_de_Ginkell,_1st_Earl_of_Athlone",ENG & IRISH REB ARMY,Jacobites,ST. RUTH,http://en.wikipedia.org/wiki/Marquis_de_St_Ruth
Battle_of_Steenkerque,45,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,STEENKERKE,ALLIED ARMY,England,B,WILLIAM III,http://en.wikipedia.org/wiki/William_III_of_England,FR ARMY,France,LUXEMBOURG,"http://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency,_duc_de_Luxembourg"
Battle_of_Landen,46,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,NEERWINDEN (LANDEN),FR ARMY,France,A,LUXEMBOURG,"http://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency,_duc_de_Luxembourg",ALLIED ARMY,England,WILLIAM III,http://en.wikipedia.org/wiki/William_III_of_England
Battle_of_Marsaglia,47,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,MARSAGLIA,FR ARMY,France,A,CATINAT,http://en.wikipedia.org/wiki/Nicolas_Catinat,ALLIED ARMY,Savoy,DUKE OF SAVOY,http://en.wikipedia.org/wiki/Victor_Amadeus_II_of_Savoy
Battle_of_Zenta,48,AUSTRO-TURKISH WAR,Great Turkish War of 1683-1699,,ZENTA,AUS ARMY,Holy Roman Empire,B,EUGENE,http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy,TURK ARMY,Ottoman Empire,MUSTAFA II,http://en.wikipedia.org/wiki/Mustafa_II
Battle_of_Poltava,49,GREAT NORTHERN WAR,Great Northern War of 1700-1721,,POLTAVA,SW ARMY,Sweden,B,CHARLES XII,http://en.wikipedia.org/wiki/Charles_XII,RUSS ARMY,Russia,PETER THE GREAT,http://en.wikipedia.org/wiki/Peter_the_Great
Battle_of_Blenheim,50,WAR OF THE SPANISH SUCCESSION,War of the Spanish Succession of 1701-1714,,BLENHEIM,ALLIED ARMY,England|Holy Roman Empire,A,MARLBOROUGH & EUGENE,"http://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy",FR & BAV ARMY,France|Bavaria,"TALLARD, MARSIN & MAX EMMANUEL OF BAVARIA"," http://en.wikipedia.org/wiki/Camille_d%27Hostun,_duc_de_Tallard http://en.wikipedia.org/wiki/Ferdinand_de_Marsin http://en.wikipedia.org/wiki/Maximilian_II_Emanuel,_Elector_of_Bavaria"
Battle_of_Ramillies,51,WAR OF THE SPANISH SUCCESSION,War of the Spanish Succession of 1701-1714,,RAMILLIES,ALLIED ARMY,England,A,MARLBOROUGH,"http://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough",FR & BAV ARMY,France|Bavaria,VILLEROY & MAX EMMANUEL OF BAVARIA,"http://en.wikipedia.org/wiki/Fran%C3%A7ois_de_Neufville,_duc_de_Villeroi http://en.wikipedia.org/wiki/Maximilian_II_Emanuel,_Elector_of_Bavaria"
Battle_of_Oudenarde,52,WAR OF THE SPANISH SUCCESSION,War of the Spanish Succession of 1701-1714,,OUDENARDE,ALLIED ARMY,England|Holy Roman Empire,A,MARLBOROUGH & EUGENE,"http://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy",FR & BAV ARMY,France,VENDOME & BURGUNDY,"http://en.wikipedia.org/wiki/Louis_Joseph,_duc_de_Vend%C3%B4me http://en.wikipedia.org/wiki/Louis,_Dauphin_of_France_(1682-1712)"
Battle_of_Malplaquet,53,WAR OF THE SPANISH SUCCESSION,War of the Spanish Succession of 1701-1714,,MALPLAQUET,ALLIED ARMY,England|Holy Roman Empire,A,MARLBOROUGH & EUGENE,"http://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy",FR & BAV ARMY,France,VILLARS & BOUFFLERS,http://en.wikipedia.org/wiki/Claude-Louis-Hector_de_Villars http://en.wikipedia.org/wiki/Louis_Fran%C3%A7ois_Boufflers
Battle_of_Petrovaradin,54,AUSTRO-TURKISH WAR,Austro-Turkish War of 1716–1718,,PETERWARDEIN,AUS ARMY,Habsburg Empire,B,EUGENE,http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy,TURK ARMY,Ottoman Empire,ALI PASHA,http://en.wikipedia.org/wiki/Silahdar_Damat_Ali_Pasha
Battle_of_Mollwitz,55,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,MOLLWITZ,AUS ARMY,Habsburg Empire,B,NEIPPERG,http://en.wikipedia.org/wiki/Wilhelm_Reinhard_von_Neipperg,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_II_of_Prussia
Battle_of_Chotusitz,56,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,CHOTUSITZ,AUS ARMY,Habsburg Empire,B,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_II_of_Prussia
Battle_of_Dettingen,57,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,DETTINGEN,BR & HAN ARMY,Great Britain,B,GEORGE II,http://en.wikipedia.org/wiki/George_II_of_Great_Britain,FR ARMY,France,NOAILLES,"http://en.wikipedia.org/wiki/Adrien-Maurice,_3rd_duc_de_Noailles"
Battle_of_Fontenoy,58,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,FONTENOY,BR ALLIED ARMY,Great Britain,B,CUMBERLAND,"http://en.wikipedia.org/wiki/Prince_William,_Duke_of_Cumberland",FR ARMY,France,SAXE,http://en.wikipedia.org/wiki/Maurice_de_Saxe
Battle_of_Hohenfriedberg,59,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,HOHENFRIEDBERG,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,AUS & SAX ARMY,Habsburg Empire,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
Battle_of_Soor,60,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,SOOR,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,AUS & SAX ARMY,Habsburg Empire,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
Battle_of_Kesselsdorf,61,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,KESSELDORF,PR ARMY,Prussia,A,ANHALT-DESSAU,"http://en.wikipedia.org/wiki/Leopold_I,_Prince_of_Anhalt-Dessau",SAX ARMY,Saxony,RUTKOWSKI,http://en.wikipedia.org/wiki/Frederick_Augustus_Rutowsky
Battle_of_Prestonpans,62,JACOBITE REBELLION,Jacobite Rising of 1745,,PRESTONPANS,SCOT REB ARMY,Jacobites,B,PRINCE CHARLES EDWARD,http://en.wikipedia.org/wiki/Charles_Edward_Stuart,BR ARMY,Great Britain,COPE,http://en.wikipedia.org/wiki/John_Cope_(British_Army_officer)
Battle_of_Culloden,63,JACOBITE REBELLION,Jacobite Rising of 1745,,CULLODEN,SCOT REB ARMY,Jacobites,B,PRINCE CHARLES EDWARD,http://en.wikipedia.org/wiki/Charles_Edward_Stuart,BR ARMY,Great Britain,CUMBERLAND,"http://en.wikipedia.org/wiki/Prince_William,_Duke_of_Cumberland"
Battle_of_Lobositz,64,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,LOBOSITZ,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,AUS ARMY,Austria,BROWNE,http://en.wikipedia.org/wiki/Maximilian_Ulysses_Reichsgraf_von_Browne
Battle_of_Prague_(1757),65,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,PRAGUE,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,AUS ARMY,Austria,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
Battle_of_Plassey,66,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,PLASSEY,BENGALI ARMY,Bengal,B,SIRAJ UD-DAULA,http://en.wikipedia.org/wiki/Siraj_ud-Daulah,BR ARMY,Great Britain,CLIVE,"http://en.wikipedia.org/wiki/Robert_Clive,_1st_Baron_Clive"
Battle_of_Kolín,67,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,KOLIN,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,AUS ARMY,Austria,DAUN,http://en.wikipedia.org/wiki/Leopold_Josef_Graf_Daun
Battle_of_Hastenbeck,68,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,HASTENBECK,FR ARMY,France,B,ESTREES,http://en.wikipedia.org/wiki/Louis_Charles_d%27Estr%C3%A9es,BR ARMY,Great Britain,DUKE OF CUMBERLAND,"http://en.wikipedia.org/wiki/Prince_William,_Duke_of_Cumberland"
Battle_of_Rossbach,69,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,ROSSBACH,FR & GER ARMY,France|Austria,B,SOUBISE & SAXE-HILDBURGHAUSEN,"http://en.wikipedia.org/wiki/Charles_de_Rohan,_prince_de_Soubise http://en.wikipedia.org/wiki/Prince_Joseph_of_Saxe-Hildburghausen",PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
Battle_of_Leuthen,70,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,LEUTHEN,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,AUS ARMY,Austria,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
Battle_of_Krefeld,71,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,CREFELD,PR ALLIED ARMY,Hanover,A,FERDINAND,http://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick,FR ARMY,France,CLERMONT,http://en.wikipedia.org/wiki/Louis_de_Bourbon_(1709%E2%80%931771)
Battle_of_Zorndorf,72,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,ZORNDORF,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,RUSS ARMY,Russia,FERMOR,http://en.wikipedia.org/wiki/William_Fermor
Battle_of_Hochkirch,73,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,HOCHKIRCH,AUS ARMY,Austria,B,DAUN,http://en.wikipedia.org/wiki/Count_Leopold_Joseph_von_Daun,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
Battle_of_Bergen_(1759),74,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,BERGEN,PR & ALLIED ARMY,Hanover,A,BRUNSWICK,http://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick,FR ARMY,France,BROGLIE,"http://en.wikipedia.org/wiki/Victor-Fran%C3%A7ois,_2nd_duc_de_Broglie"
Battle_of_Minden,75,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,MINDEN,PR & ALLIED ARMY,Hanover,A,BRUNSWICK,http://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick,FR ARMY,France,CONTADES,http://en.wikipedia.org/wiki/Louis_Georges_%C3%89rasme_de_Contades
Battle_of_Kunersdorf,76,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,KUNERSDORF,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,RUSS & AUS ARMY,Russia,SALTYKOV,http://en.wikipedia.org/wiki/Pyotr_Saltykov
