,isqno,attacker,war,battle,name,cdb13_actors,commanders,uri
30,13,1,THIRTY YEAR'S WAR,ROCROI,FR ARMY,France,ENGHIEN,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9"
31,14,0,THIRTY YEAR'S WAR,TUTTLINGEN,FR ARMY OF GERMANY,France,RANTZAU,?
32,14,1,THIRTY YEAR'S WAR,TUTTLINGEN,IMP ARMY,Holy Roman Empire,MERCY,http://en.wikipedia.org/wiki/Franz_von_Mercy
33,15,0,THIRTY YEAR'S WAR,FREIBURG,IMP ARMY,Holy Roman Empire,MERCY,http://en.wikipedia.org/wiki/Franz_von_Mercy
34,15,1,THIRTY YEAR'S WAR,FREIBURG,FR ARMY,France,CONDE,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9"
35,15,1,THIRTY YEAR'S WAR,FREIBURG,FR ARMY,France,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne"
36,16,0,THIRTY YEAR'S WAR,JANKAU,SW ARMY,Sweden,TORSTENSSON,http://en.wikipedia.org/wiki/Lennart_Torstenson
37,16,1,THIRTY YEAR'S WAR,JANKAU,IMP ARMY,Holy Roman Empire,HATZFELD,?
38,17,0,THIRTY YEAR'S WAR,MERGENTHEIM,FR ARMY,France,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne"
39,17,1,THIRTY YEAR'S WAR,MERGENTHEIM,IMP ARMY,Holy Roman Empire,MERCY,http://en.wikipedia.org/wiki/Franz_von_Mercy
40,17,1,THIRTY YEAR'S WAR,MERGENTHEIM,IMP ARMY,Holy Roman Empire,WERTH,http://en.wikipedia.org/wiki/Johann_von_Werth
41,18,0,THIRTY YEAR'S WAR,ALLERHEIM (NORDLINGEN II),IMP ARMY,Holy Roman Empire,MERCY,http://en.wikipedia.org/wiki/Franz_von_Mercy
42,18,0,THIRTY YEAR'S WAR,ALLERHEIM (NORDLINGEN II),IMP ARMY,Holy Roman Empire,WERTH,http://en.wikipedia.org/wiki/Johann_von_Werth
43,18,1,THIRTY YEAR'S WAR,ALLERHEIM (NORDLINGEN II),FR ARMY,France,CONDE,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9"
44,19,0,THIRTY YEAR'S WAR,LENS,IMP ARMY,Holy Roman Empire,LEOPOLD WILLIAM,http://en.wikipedia.org/wiki/Archduke_Leopold_Wilhelm_of_Austria
45,19,1,THIRTY YEAR'S WAR,LENS,FR ARMY,France,CONDE,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9"
46,20,0,ENGLISH CIVIL WAR,EDGEHILL,ENG PARL ARMY,Parliamentarian,ESSEX,"http://en.wikipedia.org/wiki/Robert_Devereux,_3rd_Earl_of_Essex"
47,20,1,ENGLISH CIVIL WAR,EDGEHILL,ENG ROY ARMY,Royalist,CHARLES I,http://en.wikipedia.org/wiki/Charles_I_of_England
48,21,0,ENGLISH CIVIL WAR,MARSTON MOOR,ENG ROY ARMY,Royalist,RUPERT,http://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine
49,21,1,ENGLISH CIVIL WAR,MARSTON MOOR,ENG PARL ARMY,Royalist,MANCHESTER,"http://en.wikipedia.org/wiki/Edward_Montagu,_2nd_Earl_of_Manchester"
50,22,0,ENGLISH CIVIL WAR,TIPPERMUIR,SCOT ROY ARMY,Royalist,MONTROSE,"http://en.wikipedia.org/wiki/James_Graham,_1st_Marquess_of_Montrose"
51,22,1,ENGLISH CIVIL WAR,TIPPERMUIR,SCOT COV ARMY,Parliamentarian,ELCHO,http://en.wikipedia.org/wiki/Earl_of_Wemyss
52,23,0,ENGLISH CIVIL WAR,KILSYTH,SCOT COV ARMY,Parliamentarian,BAILLIE,http://en.wikipedia.org/wiki/William_Baillie_(soldier)
53,23,1,ENGLISH CIVIL WAR,KILSYTH,SCOT ROY ARMY,Royalist,MONTROSE,"http://en.wikipedia.org/wiki/James_Graham,_1st_Marquess_of_Montrose"
54,24,0,ENGLISH CIVIL WAR,NEWBURY II,ENG ROY ARMY,Royalist,CHARLES I,http://en.wikipedia.org/wiki/Charles_I_of_England
55,24,1,ENGLISH CIVIL WAR,NEWBURY II,ENG PARL ARMY,Parliamentarian,MANCHESTER,"http://en.wikipedia.org/wiki/Edward_Montagu,_2nd_Earl_of_Manchester"
56,25,0,ENGLISH CIVIL WAR,NASEBY,ENG PARL ARMY,Parliamentarian,FAIRFAX,"http://en.wikipedia.org/wiki/Thomas_Fairfax,_3rd_Lord_Fairfax_of_Cameron"
57,25,1,ENGLISH CIVIL WAR,NASEBY,ENG ROY ARMY,Royalist,CHARLES I,http://en.wikipedia.org/wiki/Charles_I_of_England
58,26,0,SECOND ENGLISH CIVIL WAR,PRESTON,SCOT ROY ARMY,Scottish Royalist,HAMILTON,"http://en.wikipedia.org/wiki/James_Hamilton,_3rd_Marquess_and_1st_Duke_of_Hamilton"
59,26,1,SECOND ENGLISH CIVIL WAR,PRESTON,ENG PARL ARMY,English Parliament,CROMWELL,http://en.wikipedia.org/wiki/Oliver_Cromwell
60,27,0,SECOND ENGLISH CIVIL WAR,DUNBAR,SCOT ROY ARMY,Scottish Royalist,LESLIE,http://en.wikipedia.org/wiki/David_Leslie_(Scottish_general)
61,27,1,SECOND ENGLISH CIVIL WAR,DUNBAR,ENG PARL ARMY,English Parliament,CROMWELL,http://en.wikipedia.org/wiki/Oliver_Cromwell
62,28,0,SECOND ENGLISH CIVIL WAR,WORCESTER,SCOT ROY ARMY,Scottish Royalist,CHARLES II,http://en.wikipedia.org/wiki/Charles_II_of_England
63,28,1,SECOND ENGLISH CIVIL WAR,WORCESTER,ENG PARL ARMY,English Parliament,CROMWELL,http://en.wikipedia.org/wiki/Oliver_Cromwell
64,29,0,THE FRONDE,ST. ANTOINE,FR REB ARMY,Conde Rebels,CONDE,"http://en.wikipedia.org/wiki/Louis,_Grand_Cond%C3%A9"
65,29,1,THE FRONDE,ST. ANTOINE,FR ROY ARMY,France,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne"
66,30,0,FRANCO-SPANISH WAR,THE DUNES,SP ARMY,Spain,DON JUAN,http://en.wikipedia.org/wiki/Juan_Jos%C3%A9_de_Austria
67,30,1,FRANCO-SPANISH WAR,THE DUNES,FR ARMY,France,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne"
68,31,0,AUSTRO-TURKISH WAR,THE RAAB,IMP ALLIED ARMY,Holy Roman Empire,MONTECUCCOLI,http://en.wikipedia.org/wiki/Raimondo_Montecuccoli
69,31,1,AUSTRO-TURKISH WAR,THE RAAB,TURK ARMY,Ottoman Empire,AHMED KOPRULU,http://en.wikipedia.org/wiki/Ahmed_K%C3%B6pr%C3%BCl%C3%BC
70,32,0,AUSTRO-TURKISH WAR,VIENNA,TURK ARMY,Ottoman Empire,KARA MUSTAFA,http://en.wikipedia.org/wiki/Kara_Mustafa_Pasha
71,32,1,AUSTRO-TURKISH WAR,VIENNA,IMP ALLIED ARMY,Holy Roman Empire,LORRAINE,http://en.wikipedia.org/wiki/Jan_III_Sobieski
72,32,1,AUSTRO-TURKISH WAR,VIENNA,IMP ALLIED ARMY,Holy Roman Empire,SOBIESKI,"http://en.wikipedia.org/wiki/Charles_V,_Duke_of_Lorraine"
73,33,0,POLISH-TURKISH WAR,CHOCIM II,TURK ARMY,Ottoman Empire,HUSSEIN PASHA,?
74,33,1,POLISH-TURKISH WAR,CHOCIM II,POL ARMY,Poland,SOBIESKI,http://en.wikipedia.org/wiki/John_III_Sobieski
75,34,0,DUTCH WAR,SINSHEIM,IMP ALLIED ARMY,Holy Roman Empire,CAPARA,http://en.wikipedia.org/wiki/Aeneas_de_Caprara
76,34,1,DUTCH WAR,SINSHEIM,FR ARMY,France,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne"
77,35,0,DUTCH WAR,SENEF,DU ALLIED ARMY,Dutch Republic,ORANGE,http://en.wikipedia.org/wiki/William_III_of_England
78,35,1,DUTCH WAR,SENEF,FR ARMY,France,CONDE,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9"
79,36,0,DUTCH WAR,ENZHEIM,IMP ALLIED ARMY,Holy Roman Empire,BOURNONVILLE,http://en.wikipedia.org/wiki/Alexander_von_Bournonville
80,36,1,DUTCH WAR,ENZHEIM,FR ARMY,France,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne"
81,37,0,DUTCH WAR,TURCKHEIM,IMP ALLIED ARMY,Holy Roman Empire,BOURNONVILLE,http://en.wikipedia.org/wiki/Alexander_von_Bournonville
82,37,1,DUTCH WAR,TURCKHEIM,FR ARMY,France,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne"
83,38,0,DUTCH WAR,FEHRBELLIN,SW ARMY,Sweden,WRANGEL,?
84,38,1,DUTCH WAR,FEHRBELLIN,PR ARMY,Prussia,FREDERICK WILLIAM,"http://en.wikipedia.org/wiki/Frederick_William,_Elector_of_Brandenburg"
85,39,0,MONMOUTH'S REBELLION,SEDGEMOOR,ENG ARMY,England,FEVERSHAM,"http://en.wikipedia.org/wiki/Louis_de_Duras,_2nd_Earl_of_Feversham"
86,39,1,MONMOUTH'S REBELLION,SEDGEMOOR,ENG REB ARMY,English Rebels,MONMOUTH,"http://en.wikipedia.org/wiki/James_Scott,_1st_Duke_of_Monmouth"
87,40,0,KING WILLIAM'S WAR,KILLIECRANKIE,ENG ARMY,England,MACKAY,http://en.wikipedia.org/wiki/Hugh_Mackay
88,40,1,KING WILLIAM'S WAR,KILLIECRANKIE,SCOTS REB ARMY,Jacobites,DUNDEE,"http://en.wikipedia.org/wiki/John_Graham,_1st_Viscount_of_Dundee"
89,41,0,KING WILLIAM'S WAR,WALCOURT,ALLIED ARMY,Dutch Republic,WALDECK,http://en.wikipedia.org/wiki/Prince_Georg_Friedrich_of_Waldeck
90,41,1,KING WILLIAM'S WAR,WALCOURT,FR ARMY,France,D'HUMIERES,"http://en.wikipedia.org/wiki/Louis_de_Crevant,_Duke_of_Humi%C3%A8res"
91,42,0,KING WILLIAM'S WAR,FLEURUS,ALLIED ARMY,Dutch Republic,WALDECK,http://en.wikipedia.org/wiki/Prince_Georg_Friedrich_of_Waldeck
92,42,1,KING WILLIAM'S WAR,FLEURUS,FR ARMY,France,LUXEMBOURG,"http://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency,_duc_de_Luxembourg"
93,43,0,KING WILLIAM'S WAR,THE BOYNE,ENG & IRISH REB ARMY,Jacobites,JAMES II,http://en.wikipedia.org/wiki/James_II_of_England
94,43,1,KING WILLIAM'S WAR,THE BOYNE,ENG ARMY,England,WILLIAM III,http://en.wikipedia.org/wiki/William_III_of_England
95,44,0,KING WILLIAM'S WAR,AUGHRIM,ENG & IRISH REB ARMY,Jacobites,ST. RUTH,http://en.wikipedia.org/wiki/Marquis_de_St_Ruth
96,44,1,KING WILLIAM'S WAR,AUGHRIM,ENG ARMY,England,GINCKEL,"http://en.wikipedia.org/wiki/Godert_de_Ginkell,_1st_Earl_of_Athlone"
97,45,0,KING WILLIAM'S WAR,STEENKERKE,FR ARMY,France,LUXEMBOURG,"http://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency,_duc_de_Luxembourg"
98,45,1,KING WILLIAM'S WAR,STEENKERKE,ALLIED ARMY,England,WILLIAM III,http://en.wikipedia.org/wiki/William_III_of_England
99,46,0,KING WILLIAM'S WAR,NEERWINDEN (LANDEN),ALLIED ARMY,England,WILLIAM III,http://en.wikipedia.org/wiki/William_III_of_England
100,46,1,KING WILLIAM'S WAR,NEERWINDEN (LANDEN),FR ARMY,France,LUXEMBOURG,"http://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency,_duc_de_Luxembourg"
101,47,0,KING WILLIAM'S WAR,MARSAGLIA,ALLIED ARMY,Savoy,DUKE OF SAVOY,http://en.wikipedia.org/wiki/Victor_Amadeus_II_of_Savoy
102,47,1,KING WILLIAM'S WAR,MARSAGLIA,FR ARMY,France,CATINAT,http://en.wikipedia.org/wiki/Nicolas_Catinat
103,48,0,AUSTRO-TURKISH WAR,ZENTA,TURK ARMY,Ottoman Empire,MUSTAFA II,http://en.wikipedia.org/wiki/Mustafa_II
104,48,1,AUSTRO-TURKISH WAR,ZENTA,AUS ARMY,Holy Roman Empire,EUGENE,http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy
105,49,0,GREAT NORTHERN WAR,POLTAVA,RUSS ARMY,Russia,PETER THE GREAT,http://en.wikipedia.org/wiki/Peter_the_Great
106,49,1,GREAT NORTHERN WAR,POLTAVA,SW ARMY,Sweden,CHARLES XII,http://en.wikipedia.org/wiki/Charles_XII
107,50,0,WAR OF THE SPANISH SUCCESSION,BLENHEIM,FR & BAV ARMY,France & Bavaria,TALLARD,"http://en.wikipedia.org/wiki/Camille_d%27Hostun,_duc_de_Tallard"
108,50,0,WAR OF THE SPANISH SUCCESSION,BLENHEIM,FR & BAV ARMY,France & Bavaria,MARSIN,http://en.wikipedia.org/wiki/Ferdinand_de_Marsin
109,50,0,WAR OF THE SPANISH SUCCESSION,BLENHEIM,FR & BAV ARMY,France & Bavaria,MAX EMMANUEL OF BAVARIA,"http://en.wikipedia.org/wiki/Maximilian_II_Emanuel,_Elector_of_Bavaria"
110,50,1,WAR OF THE SPANISH SUCCESSION,BLENHEIM,ALLIED ARMY,England & Holy Roman Empire,MARLBOROUGH,"http://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough"
111,50,1,WAR OF THE SPANISH SUCCESSION,BLENHEIM,ALLIED ARMY,England & Holy Roman Empire,EUGENE,http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy
112,51,0,WAR OF THE SPANISH SUCCESSION,RAMILLIES,FR & BAV ARMY,France & Bavaria,VILLEROY,"http://en.wikipedia.org/wiki/Fran%C3%A7ois_de_Neufville,_duc_de_Villeroi"
113,51,0,WAR OF THE SPANISH SUCCESSION,RAMILLIES,FR & BAV ARMY,France & Bavaria,MAX EMMANUEL OF BAVARIA,"http://en.wikipedia.org/wiki/Maximilian_II_Emanuel,_Elector_of_Bavaria"
114,51,1,WAR OF THE SPANISH SUCCESSION,RAMILLIES,ALLIED ARMY,England,MARLBOROUGH,"http://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough"
115,52,0,WAR OF THE SPANISH SUCCESSION,OUDENARDE,FR & BAV ARMY,France,VENDOME,"http://en.wikipedia.org/wiki/Louis_Joseph,_duc_de_Vend%C3%B4me"
116,52,0,WAR OF THE SPANISH SUCCESSION,OUDENARDE,FR & BAV ARMY,France,BURGUNDY,"http://en.wikipedia.org/wiki/Louis,_Dauphin_of_France_(1682-1712)"
117,52,1,WAR OF THE SPANISH SUCCESSION,OUDENARDE,ALLIED ARMY,England & Holy Roman Empire,MARLBOROUGH,"http://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough"
118,52,1,WAR OF THE SPANISH SUCCESSION,OUDENARDE,ALLIED ARMY,England & Holy Roman Empire,EUGENE,http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy
119,53,0,WAR OF THE SPANISH SUCCESSION,MALPLAQUET,FR & BAV ARMY,France,VILLARS,http://en.wikipedia.org/wiki/Claude-Louis-Hector_de_Villars
120,53,0,WAR OF THE SPANISH SUCCESSION,MALPLAQUET,FR & BAV ARMY,France,BOUFFLERS,http://en.wikipedia.org/wiki/Louis_Fran%C3%A7ois_Boufflers
121,53,1,WAR OF THE SPANISH SUCCESSION,MALPLAQUET,ALLIED ARMY,England & Holy Roman Empire,MARLBOROUGH,"http://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough"
122,53,1,WAR OF THE SPANISH SUCCESSION,MALPLAQUET,ALLIED ARMY,England & Holy Roman Empire,EUGENE,http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy
123,54,0,AUSTRO-TURKISH WAR,PETERWARDEIN,TURK ARMY,Ottoman Empire,ALI PASHA,http://en.wikipedia.org/wiki/Silahdar_Damat_Ali_Pasha
124,54,1,AUSTRO-TURKISH WAR,PETERWARDEIN,AUS ARMY,Habsburg Empire,EUGENE,http://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy
125,55,0,WAR OF THE AUSTRIAN SUCCESSION,MOLLWITZ,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_II_of_Prussia
126,55,1,WAR OF THE AUSTRIAN SUCCESSION,MOLLWITZ,AUS ARMY,Habsburg Empire,NEIPPERG,http://en.wikipedia.org/wiki/Wilhelm_Reinhard_von_Neipperg
127,56,0,WAR OF THE AUSTRIAN SUCCESSION,CHOTUSITZ,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_II_of_Prussia
128,56,1,WAR OF THE AUSTRIAN SUCCESSION,CHOTUSITZ,AUS ARMY,Habsburg Empire,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
129,57,0,WAR OF THE AUSTRIAN SUCCESSION,DETTINGEN,FR ARMY,France,NOAILLES,"http://en.wikipedia.org/wiki/Adrien-Maurice,_3rd_duc_de_Noailles"
130,57,1,WAR OF THE AUSTRIAN SUCCESSION,DETTINGEN,BR & HAN ARMY,Great Britain,GEORGE II,http://en.wikipedia.org/wiki/George_II_of_Great_Britain
131,58,0,WAR OF THE AUSTRIAN SUCCESSION,FONTENOY,FR ARMY,France,SAXE,http://en.wikipedia.org/wiki/Maurice_de_Saxe
132,58,1,WAR OF THE AUSTRIAN SUCCESSION,FONTENOY,BR ALLIED ARMY,Great Britain,CUMBERLAND,"http://en.wikipedia.org/wiki/Prince_William,_Duke_of_Cumberland"
133,59,0,WAR OF THE AUSTRIAN SUCCESSION,HOHENFRIEDBERG,AUS & SAX ARMY,Habsburg Empire,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
134,59,1,WAR OF THE AUSTRIAN SUCCESSION,HOHENFRIEDBERG,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
135,60,0,WAR OF THE AUSTRIAN SUCCESSION,SOOR,AUS & SAX ARMY,Habsburg Empire,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
136,60,1,WAR OF THE AUSTRIAN SUCCESSION,SOOR,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
137,61,0,WAR OF THE AUSTRIAN SUCCESSION,KESSELDORF,SAX ARMY,Saxony,RUTKOWSKI,http://en.wikipedia.org/wiki/Frederick_Augustus_Rutowsky
138,61,1,WAR OF THE AUSTRIAN SUCCESSION,KESSELDORF,PR ARMY,Prussia,ANHALT-DESSAU,"http://en.wikipedia.org/wiki/Leopold_I,_Prince_of_Anhalt-Dessau"
139,62,0,JACOBITE REBELLION,PRESTONPANS,BR ARMY,Great Britain,COPE,http://en.wikipedia.org/wiki/John_Cope_(British_Army_officer)
140,62,1,JACOBITE REBELLION,PRESTONPANS,SCOT REB ARMY,Jacobites,PRINCE CHARLES EDWARD,http://en.wikipedia.org/wiki/Charles_Edward_Stuart
141,63,0,JACOBITE REBELLION,CULLODEN,BR ARMY,Great Britain,CUMBERLAND,"http://en.wikipedia.org/wiki/Prince_William,_Duke_of_Cumberland"
142,63,1,JACOBITE REBELLION,CULLODEN,SCOT REB ARMY,Jacobites,PRINCE CHARLES EDWARD,http://en.wikipedia.org/wiki/Charles_Edward_Stuart
143,64,0,THE SEVEN YEAR'S WAR,LOBOSITZ,AUS ARMY,Austria,BROWNE,http://en.wikipedia.org/wiki/Maximilian_Ulysses_Reichsgraf_von_Browne
144,64,1,THE SEVEN YEAR'S WAR,LOBOSITZ,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
145,65,0,THE SEVEN YEAR'S WAR,PRAGUE,AUS ARMY,Austria,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
146,65,1,THE SEVEN YEAR'S WAR,PRAGUE,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
147,66,0,THE SEVEN YEAR'S WAR,PLASSEY,BR ARMY,Great Britain,CLIVE,"http://en.wikipedia.org/wiki/Robert_Clive,_1st_Baron_Clive"
148,66,1,THE SEVEN YEAR'S WAR,PLASSEY,BENGALI ARMY,Bengal,SIRAJ UD-DAULA,http://en.wikipedia.org/wiki/Siraj_ud-Daulah
149,67,0,THE SEVEN YEAR'S WAR,KOLIN,AUS ARMY,Austria,DAUN,http://en.wikipedia.org/wiki/Leopold_Josef_Graf_Daun
150,67,1,THE SEVEN YEAR'S WAR,KOLIN,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
151,68,0,THE SEVEN YEAR'S WAR,HASTENBECK,BR ARMY,Great Britain,DUKE OF CUMBERLAND,"http://en.wikipedia.org/wiki/Prince_William,_Duke_of_Cumberland"
152,68,1,THE SEVEN YEAR'S WAR,HASTENBECK,FR ARMY,France,ESTREES,http://en.wikipedia.org/wiki/Louis_Charles_d%27Estr%C3%A9es
153,69,0,THE SEVEN YEAR'S WAR,ROSSBACH,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
154,69,1,THE SEVEN YEAR'S WAR,ROSSBACH,FR & GER ARMY,France & Austria,SOUBISE,"http://en.wikipedia.org/wiki/Charles_de_Rohan,_prince_de_Soubise"
155,69,1,THE SEVEN YEAR'S WAR,ROSSBACH,FR & GER ARMY,France & Austria,SAXE-HILDBURGHAUSEN,http://en.wikipedia.org/wiki/Prince_Joseph_of_Saxe-Hildburghausen
