"isqno","name","war2","war3"
308,"SOMME-FLERS-COURCELETTE","WORLD WAR I (WESTERN FRONT 1916)","WORLD WAR I"
309,"CAUCASUS WINTER OFFENSIVE","WORLD WAR I (TURKISH FRONTS 1916)","WORLD WAR I"
310,"LAKE NAROTCH","WORLD WAR I (EASTERN FRONT 1916)","WORLD WAR I"
311,"1916 BRUSILOV OFFENSIVE","WORLD WAR I (EASTERN FRONT 1916)","WORLD WAR I"
312,"FIFTH ISONZO","WORLD WAR I (ITALIAN FRONT 1916)","WORLD WAR I"
313,"ASIAGO","WORLD WAR I (ITALIAN FRONT 1916)","WORLD WAR I"
314,"TRENTINO COUNTER-OFFENSIVE","WORLD WAR I (ITALIAN FRONT 1916)","WORLD WAR I"
315,"SIXTH ISONZO (GORIZIA)","WORLD WAR I (ITALIAN FRONT 1916)","WORLD WAR I"
316,"ARRAS","WORLD WAR I (WESTERN FRONT 1917)","WORLD WAR I"
317,"AISNE II","WORLD WAR I (WESTERN FRONT 1917)","WORLD WAR I"
318,"MESSINES","WORLD WAR I (WESTERN FRONT 1917)","WORLD WAR I"
319,"YPRES III","WORLD WAR I (WESTERN FRONT 1917)","WORLD WAR I"
320,"CAMBRAI I","WORLD WAR I (WESTERN FRONT 1917)","WORLD WAR I"
321,"CAMBRAI II","WORLD WAR I (WESTERN FRONT 1917)","WORLD WAR I"
322,"TENTH ISONZO","WORLD WAR I (ITALIAN FRONT 1917)","WORLD WAR I"
323,"ELEVENTH ISONZO","WORLD WAR I (ITALIAN FRONT 1917)","WORLD WAR I"
324,"CAPORETTO (TWELFTH ISONZO)","WORLD WAR I (ITALIAN FRONT 1917)","WORLD WAR I"
325,"TIGRIS CROSSING","WORLD WAR I (TURKISH FRONTS 1917)","WORLD WAR I"
326,"GAZA I","WORLD WAR I (TURKISH FRONTS 1917)","WORLD WAR I"
327,"GAZA II","WORLD WAR I (TURKISH FRONTS 1917)","WORLD WAR I"
328,"GAZA III","WORLD WAR I (TURKISH FRONTS 1917)","WORLD WAR I"
329,"JUNCTION STATION","WORLD WAR I (TURKISH FRONTS 1917)","WORLD WAR I"
330,"SECOND SOMME-PHASE I (SOMME-PERONNE)","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
331,"SECOND SOMME-PHASE II (SOMME-MONTDIDIER)","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
332,"LYS","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
333,"YVONNE & ODETTE POSITIONS (SECTOR TOULON)","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
334,"CHEMIN-DES-DAMES","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
335,"CANTIGNY","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
336,"BELLEAU WOOD","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
337,"HILL 142","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
338,"WEST WOOD I","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
339,"BOURESCHES I","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
340,"HILL 192","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
341,"WEST WOOD II","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
342,"NORTH WOOD I (HUNTING LODGE)","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
343,"BOURESCHES II","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
344,"NORTH WOOD II","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
345,"NORTH WOOD III","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
346,"NORTH WOOD IV (FINAL ASSAULT)","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
347,"VAUX","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
348,"LA ROCHE WOOD EAST","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
349,"LA ROCHE WOOD WEST","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
350,"NOYON-MONTDIDIER","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
351,"CHAMPAGNE-MARNE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
352,"AISNE-MARNE I","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
353,"MISSY AUX BOIS RAVINE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
354,"BREUIL","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
355,"ST. AMAND FARM","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
356,"BEAUREPAIRE FARM","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
357,"CRAVANCON FERME-CHAUDUN","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
358,"CHAUDUN","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
359,"AISNE-MARNE II","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
360,"BERZY LE SEC","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
361,"BUZANCY RIDGE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
362,"PICARDY 1918, I","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
363,"PICARDY 1918, II","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
364,"ST. MIHIEL","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
365,"LAHAYVILLE-BOIS DE LAMARCHE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
366,"MEUSE-ARGONNE I","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
367,"BLANC MONT I","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
368,"MEDEAH FARM","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
369,"ESSEN HOOK","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
370,"BLANC MONT RIDGE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
371,"SOMMEPY WOOD","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
372,"BLANC MONT II","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
373,"MEUSE-ARGONNE II","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
374,"EXERMONT-MONTREFAGNE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
375,"MAYACHE RAVINE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
376,"LA NEUVILLE LE COMTE FERME","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
377,"FERME DES GRANGES-FLEVILLE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
378,"HILL 212","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
379,"BOIS DE BOYON-MONTREFAGNE","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
380,"HILL 272","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
381,"MEUSE-ARGONNE III","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
382,"REMILLY-AILLICOURT","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
383,"HILL 252-PONT MAUGIS","WORLD WAR I (WESTERN FRONT 1918)","WORLD WAR I"
384,"THE PIAVE","WORLD WAR I (ITALIAN FRONT 1918)","WORLD WAR I"
385,"MEGIDDO","WORLD WAR I (TURKISH FRONTS 1918)","WORLD WAR I"
386,"ALAM HALFA","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
387,"EL ALAMEIN II","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
388,"OPERATION LIGHTFOOT","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
389,"ALAMEIN BRIDGEHEAD EXPANSION","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
390,"OPERATION SUPERCHARGE","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
391,"CHOUIGUI PASS","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
392,"EL GUETTAR","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
393,"SEDJANNE-BIZERTE","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
394,"AMPHITHEATER","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
395,"PORT OF SALERNO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
396,"SELE-CALORE CORRIDOR","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
397,"BATTIPAGLIA I","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
398,"VIETRI","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
399,"TOBACCO FACTORY","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
400,"BATTIPAGLIA II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
401,"EBOLI","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
402,"VIETRI II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
403,"GRAZZANISE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
404,"CAIAZZO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
405,"CAPUA","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
406,"CASTEL VOLTURNO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
407,"MONTE ACERO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
408,"TRIFLISCO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
409,"DRAGONI","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
410,"CANAL I","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
411,"MONTE GRANDE (VOLTURNO)","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
412,"CANAL II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
413,"FRANCOLISE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
414,"SANTA MARIA OLIVETO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
415,"MONTE CAMINO I","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
416,"MONTE LUNGO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
417,"POZZILLI","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
418,"MONTE CAMINO II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
419,"MONTE ROTONDO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
420,"CALABRITTO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
421,"MONTE CAMINO III","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
422,"MONTE MAGGIORE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
423,"APRILIA I","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
424,"THE FACTORY","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
425,"CAMPOLEONE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
426,"CAMPOLEONE COUNTERATTACK","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
427,"CARROCETO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
428,"MOLETTA RIVER DEFENSE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
429,"APRILIA II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
430,"FACTORY COUNTERATTACK","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
431,"BOWLING ALLEY","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
432,"MOLETTA RIVER II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
433,"FIOCCIA","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
434,"SANTA MARIA INFANTE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
435,"SAN MARTINO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
436,"CASTELLONORATO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
437,"SPIGNO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
438,"FORMIA","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
439,"MONTE GRANDE (ROME)","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
440,"ITRI-FONDI","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
441,"TERRACINA","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
442,"MOLETTA OFFENSIVE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
443,"ANZIO-ALBANO ROAD","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
444,"ANZIO BREAKOUT","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
445,"CISTERNA","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
446,"SEZZE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
447,"VELLETRI","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
448,"CAMPOLEONE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
449,"VILLA CROCETTA","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
450,"ARDEA","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
451,"FOSSO DI CAMPOLEONE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
452,"LANUVIO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
453,"LARIANO","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
454,"VIA ANZIATE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
455,"VALMONTONE","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
456,"TARTO-TIBER","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
457,"IL GIOGIO PASS","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
458,"ST. LO","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
459,"OPERATION GOODWOOD","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
460,"OPERATION COBRA","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
461,"MORTAIN","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
462,"CHARTRES","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
463,"MELUN","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
464,"SEINE RIVER","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
465,"MOSELLE-METZ","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
466,"METZ","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
467,"ARRACOURT","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
468,"WESTWALL","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
469,"SCHMIDT","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
470,"SEILLE-NIED","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
471,"FORET DE CHATEAU-SALINS","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
472,"MORHANGE","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
473,"MORHANGE-FAULQUEMONT","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
474,"BOURGALTROFF","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
475,"SARRE-ST. AVOLD","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
476,"BAERENDORF I","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
477,"BAERENDORF II","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
478,"BURBACH-DURSTEL","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
479,"DURSTEL-FAERBERSVILLER","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
480,"SARRE-UNION","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
481,"SARRE-SINGLING","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
482,"SINGLING-BINING","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
483,"SAUER RIVER","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
484,"ST. VITH","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
485,"BASTOGNE","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
486,"SEDAN-MEUSE RIVER","WORLD WAR II (FRANCE 1940)","WORLD WAR II"
487,"JITRA","WORLD WAR II (MALAY 1941)","WORLD WAR II"
488,"ROVNO","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
489,"DEFENSE OF MOSCOW","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
490,"MOSCOW COUNTEROFFENSIVE","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
491,"POGORELOYE GORODISHCHE","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
492,"LENINGRAD (OPERATION SPARK)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
493,"OBOYAN-KURSK (PHASE I)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
494,"OPERATION CITADEL (SOUTHERN SECTOR)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
495,"OBOYAN-KURSK (PHASE II)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
496,"OBOYAN-KURSK (PHASE III)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
497,"PROKHOROVKA","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
498,"KURSK COUNTEROFFENSIVE (SOUTHERN SECTOR)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
499,"BELGOROD","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
500,"MELITOPOL","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
501,"KORSUN-SCHEVCHENKOVSKIY","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
502,"NIKOPOL BRIDGEHEAD","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
503,"SEVASTOPOL","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
504,"BEREZINA RIVER","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
505,"LVOV-SANDOMIERZ","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
506,"BRODY (PHASE I)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
507,"BRODY (PHASE II)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
508,"VISTULA RIVER, CROSSING, PHASE I","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
509,"VISTULA RIVER, PULAWY, PHASE II","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
510,"YASSY-KISHINEV OPERATION","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
511,"VISTULA-ODER","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
512,"EAST PRUSSIA","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
513,"CIECHANOW (PHASE I)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
514,"CIECHANOW (PHASE II)","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
515,"SEELOW HEIGHTS","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
516,"MUTANKIANG","WORLD WAR II (MANCHURIA 1945)","WORLD WAR II"
517,"TARAWA-BETIO","WORLD WAR II (WAR AGAINST JAPAN 1943-1945)","WORLD WAR II"
518,"IWO JIMA - INTO THE MAIN DEFENSES","WORLD WAR II (WAR AGAINST JAPAN 1943-1945)","WORLD WAR II"
519,"IWO JIMA - SURIBACHI","WORLD WAR II (WAR AGAINST JAPAN 1943-1945)","WORLD WAR II"
520,"IWO JIMA - FINAL PHASE","WORLD WAR II (WAR AGAINST JAPAN 1943-1945)","WORLD WAR II"
521,"ADVANCE FROM THE BEACHHEAD","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
522,"ADVANCE THROUGH THE OUTPOSTS","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
523,"TOMB HILL-OUKI","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
524,"SKYLINE RIDGE-ROCKY CRAGS","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
525,"KOCHI RIDGE-ONAGA I","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
526,"KOCHI RIDGE-ONAGA II","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
527,"KOCHI RIDGE-ONAGA III","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
528,"JAPANESE COUNTERATTACK","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
529,"KOCHI RIDGE IV","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
530,"SHURI ENVELOPMENT (PHASE I)","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
531,"JAPANESE COUNTERATTACKS","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
532,"SHURI ENVELOPMENT (PHASE II)","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
533,"SHURI ENVELOPMENT (PHASE III)","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
534,"HILL 95-I","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
535,"HILL 95-II","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
536,"YAEJU-DAKE","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
537,"HILLS 153 AND 115","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
538,"ADVANCE FROM THE BEACH","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
539,"ADVANCE TO SHURI LINE OUTPOSTS","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
540,"KAKAZU AND TOMBSTONE RIDGES","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
541,"NISHIBARU RIDGE-TANABARU ESCARPMENT","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
542,"MAEDA ESCARPMENT","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
543,"ATTACK ON SHURI LINE'S EASTERN FLANK I","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
544,"ATTACK ON SHURI LINE'S EASTERN FLANK II","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
545,"ATTACK ON SHURI LINE'S EASTERN FLANK III","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
546,"ADVANCE TO YUZA-DAKE/YAEJU-DAKE ESCARPMENT","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
547,"ATTACK ON YUZA-DAKE/YAEJU-DAKE ESCARPMENT","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
